Date,Site,Treatment,bag_number,shell_ID,oyster_count,density_m2
11/1/17,San Rafael,Oyster,1,1,0,0
11/1/17,San Rafael,Oyster,1,2,1,1080
11/1/17,San Rafael,Oyster,1,3,1,1080
11/1/17,San Rafael,Oyster,1,4,1,1080
11/1/17,San Rafael,Oyster,1,5,0,0
11/1/17,San Rafael,Oyster,1,6,2,2160
11/1/17,San Rafael,Oyster,3,1,0,0
11/1/17,San Rafael,Oyster,3,2,0,0
11/1/17,San Rafael,Oyster,3,3,0,0
11/1/17,San Rafael,Oyster,3,4,0,0
11/1/17,San Rafael,Oyster,3,5,0,0
11/1/17,San Rafael,Oyster,3,6,1,1080
11/1/17,San Rafael,Oyster,7,1,0,0
11/1/17,San Rafael,Oyster,7,2,0,0
11/1/17,San Rafael,Oyster,7,3,0,0
11/1/17,San Rafael,Oyster,7,4,1,1080
11/1/17,San Rafael,Oyster,7,5,0,0
11/1/17,San Rafael,Oyster,7,6,0,0
11/1/17,San Rafael,Eelgrass_oyster,1,1,0,0
11/1/17,San Rafael,Eelgrass_oyster,1,2,0,0
11/1/17,San Rafael,Eelgrass_oyster,1,3,0,0
11/1/17,San Rafael,Eelgrass_oyster,1,4,1,1080
11/1/17,San Rafael,Eelgrass_oyster,1,5,0,0
11/1/17,San Rafael,Eelgrass_oyster,1,6,0,0
11/1/17,San Rafael,Eelgrass_oyster,3,1,1,1080
11/1/17,San Rafael,Eelgrass_oyster,3,2,0,0
11/1/17,San Rafael,Eelgrass_oyster,3,3,1,1080
11/1/17,San Rafael,Eelgrass_oyster,3,4,0,0
11/1/17,San Rafael,Eelgrass_oyster,3,5,0,0
11/1/17,San Rafael,Eelgrass_oyster,3,6,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,1,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,2,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,3,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,4,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,5,0,0
11/1/17,San Rafael,Eelgrass_oyster,7,6,0,0
