Site,Tidal height,Length (mm),Dy (g),Time
San Diego,low,35,0.243,0
San Diego,low,34,0.145,0
San Diego,low,25,0.074,0
San Diego,low,18,0.018,0
San Diego,low,31,0.064,0
San Diego,low,21,0.085,0
San Diego,low,28,0.265,0
San Diego,low,26,0.032,0
San Diego,low,33,0.205,0
San Diego,low,28,0.085,0
San Diego,low,26,0.068,0
San Diego,low,19,0.089,0
San Diego,low,22,0.081,0
San Diego,low,19,0.046,0
San Diego,low,26,0.039,0
San Diego,low,30,0.058,0
San Diego,low,19,0.078,0
San Diego,low,33,0.012,0
San Diego,low,32,0.053,0
San Diego,low,35,0.057,0
San Diego,low,31,0.029,0
San Diego,low,27,0.017,0
San Diego,low,35,0.105,0
San Diego,low,25,0.34,0
San Diego,low,24,0.026,0
San Diego,low,31,0.046,0
San Diego,low,41,0.061,0
San Diego,low,36,0.04,0
San Diego,low,35,0.118,0
San Diego,low,24,0.147,0
San Diego,low,21,0.03,0
San Diego,low,42,0.135,0
San Diego,low,8,0.009,0
San Diego,low,22,0.101,0
San Diego,low,26,0.02,0
San Diego,low,32,0.027,0
San Diego,low,31,0.047,0
San Diego,low,18,0.019,0
San Diego,low,34,0.094,0
San Diego,low,42,0.065,0
San Diego,low,31,0.14,0
San Diego,low,31,0.073,0
San Diego,low,29,0.053,0
San Diego,low,34,0.065,0
San Diego,low,32,0.085,0
San Diego,low,28,0.062,0
San Diego,low,25,0.045,0
San Diego,low,27,0.077,0
San Diego,low,25,0.088,0
San Diego,low,13,0.003,0
San Diego,low,9,0.001,0
San Diego,low,22,0.038,0
San Diego,low,20,0.057,0
San Diego,low,27,0.048,0
San Diego,low,18,0.02,0
San Diego,low,43,0.11,0
San Diego,low,30,0.049,0
San Diego,low,30,0.057,0
San Diego,low,31,0.046,0
San Diego,low,30,0.076,0
San Diego,low,30,0.05,1
San Diego,low,21,0.015,1
San Diego,low,30,0.055,1
San Diego,low,32,0.049,1
San Diego,low,39,0.068,1
San Diego,low,18,0.008,1
San Diego,low,27,0.049,1
San Diego,low,19,0.022,1
San Diego,low,24,0.024,1
San Diego,low,30,0.079,1
San Diego,low,19,0.012,1
San Diego,low,35,0.052,1
San Diego,low,27,0.021,1
San Diego,low,19,0.012,1
San Diego,Subtidal,18,0.0289,1
San Diego,Subtidal,24,0.061,1
San Diego,Subtidal,37,0.024,1
San Diego,Subtidal,80,0.365,1
San Diego,Subtidal,42,0.068,1
San Diego,Subtidal,20,0.008,1
San Diego,Subtidal,27,0.037,1
San Diego,Subtidal,8,0.001,1
San Diego,Subtidal,33,0.085,1
San Diego,Subtidal,24,0.017,1
San Diego,Subtidal,31,0.039,1
San Diego,Subtidal,23,0.011,1
San Diego,Subtidal,30,0.068,1
San Diego,Subtidal,40,0.067,1
San Diego,Subtidal,23,0.008,1
San Diego,Subtidal,29,0.066,1
San Diego,Subtidal,38,0.04,1
San Diego,Subtidal,13,0.007,1
San Diego,Subtidal,40,0.103,1
San Diego,Subtidal,24,0.97,1
San Diego,Subtidal,33,0.074,1
San Diego,Subtidal,39,0.087,1
San Diego,Subtidal,22,0.013,1
San Diego,Subtidal,35,0.145,1
San Diego,Subtidal,33,0.187,1
San Diego,Subtidal,32,0.104,1
San Diego,Subtidal,31,0.107,1
San Diego,Subtidal,38,0.0258,1
San Diego,Subtidal,45,0.205,1
San Diego,Subtidal,26,0.026,1
San Diego,Subtidal,33,0.085,1
San Diego,Subtidal,29,0.047,1
San Diego,Subtidal,57,0.31,1
San Diego,Subtidal,44,0.24,1
San Diego,Subtidal,47,0.165,1
San Diego,Subtidal,29,0.08,1
San Diego,Subtidal,22,0.033,1
San Diego,Subtidal,28,0.081,1
San Diego,Subtidal,23,0.018,1
San Diego,Subtidal,16,0.009,1
San Diego,Subtidal,18,0.004,1
San Diego,Subtidal,23,0.02,1
