ID,Time of Year,Species,Shell Height (mm),TWW (g),Vial weight,Vial + Wet Oyster,Tissue Weight,Vial + dry oyster,Dry Tissue Weight
1,04/07/2011,O. lurida,52,18.74,7.7508,11.0131,3.2623,8.8186,1.0678
3,04/07/2011,O. lurida,43,12.55,7.7481,9.3126,1.5645,8.0822,0.3341
4,04/07/2011,O. lurida,51,23.59,7.741,12.3347,4.5937,8.8658,1.1248
13,04/29/2011,O. lurida,52.5,17.9525,7.89,12.5744,4.6844,9.0054,1.1154
14,04/29/2011,O. lurida,48.55,18.0944,7.9606,11.037,3.0764,8.6173,0.6567
15,04/29/2011,O. lurida,53.293,17.5448,7.648,10.973,3.325,8.303,0.655
16,04/29/2011,O. lurida,52.11,17.262,7.7933,11.0342,3.2409,8.5615,0.7682
17,04/29/2011,O. lurida,48.5,16.0435,7.6554,11.1473,3.4919,8.2575,0.6021
18,04/29/2011,O. lurida,50.7,18.213,7.7169,12.7667,5.0498,8.7173,1.0004
19,04/29/2011,O. lurida,49.2,16.0055,7.7479,11.2223,3.4744,8.2339,0.486
25,05/23/2011,O. lurida,23.54,2.0884,7.8922,8.3246,0.4324,7.999,0.1068
26,05/23/2011,O. lurida,23.4,2.3926,7.7938,8.3,0.5062,7.9001,0.1063
27,05/23/2011,O. lurida,27.2,2.372,7.7383,8.1747,0.4364,7.8318,0.0935
28,05/23/2011,O. lurida,30.04,2.3287,7.9523,8.3772,0.4249,8.0416,0.0893
29,05/23/2011,O. lurida,28.77,2.2343,7.7022,8.1196,0.4174,7.7813,0.0791
32,05/23/2011,O. lurida,24.9,1.9784,7.7316,8.0957,0.3641,7.804,0.0724
33,05/23/2011,O. lurida,23.9,2.3922,7.7184,8.2656,0.5472,7.8215,0.1031
34,05/23/2011,O. lurida,24.5,1.5891,7.8382,8.0389,0.2007,7.8768,0.0386
35,05/23/2011,O. lurida,30.4,2.6649,7.8189,8.2303,0.4114,7.898,0.0791
36,05/23/2011,O. lurida,21.7,1.8822,7.9035,8.2084,0.3049,7.947,0.0435
39,05/23/2011,O. lurida,42.3,14.1922,7.6498,9.3465,1.6967,7.9982,0.3484
40,05/23/2011,O. lurida,46.5,14.9099,7.8623,10.9942,3.1319,8.3435,0.4812
41,05/23/2011,O. lurida,49.05,12.3677,7.7389,8.9128,1.1739,8.0384,0.2995
42,05/23/2011,O. lurida,54.5,14.9102,7.7912,10.1686,2.3774,8.1953,0.4041
45,05/23/2011,O. lurida,45.1,14.2157,7.7986,10.828,3.0294,8.5016,0.703
46,05/23/2011,O. lurida,43,12.336,7.7387,9.9688,2.2301,8.0822,0.3435
47,05/23/2011,O. lurida,42.1,11.799,7.7066,9.6083,1.9017,8.1524,0.4458
48,05/23/2011,O. lurida,51.7,13.1674,7.6577,10.5138,2.8561,8.1524,0.4947
49,05/23/2011,O. lurida,47.9,13.547,7.8385,10.3721,2.5336,8.187,0.3485
53,06/01/2011,O. lurida,37.1,5.819,7.7996,9.0898,1.2902,8.0369,0.2373
54,06/01/2011,O. lurida,34.5,5.5459,7.7199,8.9158,1.1959,7.9542,0.2343
55,06/01/2011,O. lurida,36.05,5.7459,7.751,8.9119,1.1609,8.0337,0.2827
56,06/01/2011,O. lurida,39.91,6.877,7.8373,9.3335,1.4962,8.1251,0.2878
926-7,09/26/2013,O. lurida,51.6,24.87,7.77486,13.12723,5.35237,8.33947,0.56461
926-8,09/26/2013,O. lurida,46.7,14.83,7.96341,11.49992,3.53651,8.39617,0.43276
926-9,09/26/2013,O. lurida,45.8,15.5,7.74958,11.49047,3.74089,8.148,0.39842
926-10,09/26/2013,O. lurida,45.7,16.97,7.82381,10.89506,3.07125,8.19515,0.37134
926-11,09/26/2013,O. lurida,51.1,16.56,7.84936,11.54962,3.70026,8.22847,0.37911
926-12,09/26/2013,O. lurida,45.1,16.92,7.7058,11.001,3.2952,8.151,0.4452
1024-7,10/24/2013,O. lurida,50.6,22.444,7.84436,12.9368,5.09244,8.32561,0.48125
1024-8,10/24/2013,O. lurida,55.3,28.6503,7.8008,12.7591,4.9583,8.478,0.6772
1024-9,10/24/2013,O. lurida,45.3,22.11092,7.8882,12.7931,4.9049,8.38988,0.50168
1024-10,10/24/2013,O. lurida,48.6,17.0752,7.6357,10.4698,2.8341,8.08644,0.45074
1024-11,10/24/2013,O. lurida,55,21.8572,7.80263,11.7258,3.92317,8.49302,0.69039
1024-12,10/24/2013,O. lurida,53.9,24.3442,7.81117,12.5106,4.69943,8.57645,0.76528
