Individual,Species,Y,Level,Count,Prob
1,C. gigas,Particle Size (µm),10,14,0.109375
1,C. gigas,Particle Size (µm),20,1,0.0078125
1,C. gigas,Particle Size (µm),3,62,0.484375
1,C. gigas,Particle Size (µm),6,51,0.3984375
1,C. gigas,Particle Size (µm),Total,128,1
11,C. gigas,Particle Size (µm),10,3,0.025641026
11,C. gigas,Particle Size (µm),3,96,0.820512821
11,C. gigas,Particle Size (µm),6,18,0.153846154
11,C. gigas,Particle Size (µm),Total,117,1
2,C. gigas,Particle Size (µm),10,19,0.166666667
2,C. gigas,Particle Size (µm),20,1,0.00877193
2,C. gigas,Particle Size (µm),3,64,0.561403509
2,C. gigas,Particle Size (µm),6,30,0.263157895
2,C. gigas,Particle Size (µm),Total,114,1
3,C. gigas,Particle Size (µm),10,19,0.18627451
3,C. gigas,Particle Size (µm),3,75,0.735294118
3,C. gigas,Particle Size (µm),6,8,0.078431373
3,C. gigas,Particle Size (µm),Total,102,1
4,C. gigas,Particle Size (µm),10,4,0.035087719
4,C. gigas,Particle Size (µm),20,1,0.00877193
4,C. gigas,Particle Size (µm),3,45,0.394736842
4,C. gigas,Particle Size (µm),6,64,0.561403509
4,C. gigas,Particle Size (µm),Total,114,1
5,C. gigas,Particle Size (µm),10,1,0.009090909
5,C. gigas,Particle Size (µm),3,100,0.909090909
5,C. gigas,Particle Size (µm),6,9,0.081818182
5,C. gigas,Particle Size (µm),Total,110,1
Control,Control,Particle Size (µm),10,10,0.092592593
Control,Control,Particle Size (µm),20,3,0.027777778
Control,Control,Particle Size (µm),3,75,0.694444444
Control,Control,Particle Size (µm),6,20,0.185185185
Control,Control,Particle Size (µm),Total,108,1
Control,Control,Particle Size (µm),10,57,0.092833876
Control,Control,Particle Size (µm),20,4,0.006514658
Control,Control,Particle Size (µm),3,386,0.628664495
Control,Control,Particle Size (µm),6,167,0.271986971
Control,Control,Particle Size (µm),Total,614,1
10,O. lurida,Particle Size (µm),10,6,0.053571429
10,O. lurida,Particle Size (µm),3,76,0.678571429
10,O. lurida,Particle Size (µm),6,30,0.267857143
10,O. lurida,Particle Size (µm),Total,112,1
12,O. lurida,Particle Size (µm),10,6,0.057142857
12,O. lurida,Particle Size (µm),3,79,0.752380952
12,O. lurida,Particle Size (µm),6,20,0.19047619
12,O. lurida,Particle Size (µm),Total,105,1
6,O. lurida,Particle Size (µm),10,10,0.091743119
6,O. lurida,Particle Size (µm),3,87,0.798165138
6,O. lurida,Particle Size (µm),6,12,0.110091743
6,O. lurida,Particle Size (µm),Total,109,1
7,O. lurida,Particle Size (µm),10,11,0.108910891
7,O. lurida,Particle Size (µm),3,83,0.821782178
7,O. lurida,Particle Size (µm),6,7,0.069306931
7,O. lurida,Particle Size (µm),Total,101,1
8,O. lurida,Particle Size (µm),3,93,0.902912621
8,O. lurida,Particle Size (µm),6,10,0.097087379
8,O. lurida,Particle Size (µm),Total,103,1
9,O. lurida,Particle Size (µm),10,1,0.0125
9,O. lurida,Particle Size (µm),3,72,0.9
9,O. lurida,Particle Size (µm),6,7,0.0875
9,O. lurida,Particle Size (µm),Total,80,1
