    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal+ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
14:37:00,20.81,51.84,47.69,33.69,34.16,2.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:01,20.81,51.84,47.69,33.69,34.16,2.5,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:02,20.82,51.84,47.7,33.7,34.16,2.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:03,20.82,51.84,47.7,33.7,34.16,2.5,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:04,20.82,51.84,47.7,33.69,34.16,2.4,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:05,20.82,51.84,47.7,33.69,34.16,2.4,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:06,20.82,51.84,47.7,33.69,34.16,2.3,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:08,20.82,51.83,47.7,33.69,34.15,2.3,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:09,20.82,51.83,47.7,33.69,34.15,2.3,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:10,20.82,51.83,47.7,33.69,34.15,2.3,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:11,20.82,51.83,47.7,33.69,34.15,2.3,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:12,20.82,51.83,47.69,33.69,34.15,2.3,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:13,20.82,51.83,47.69,33.69,34.15,2.3,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:14,20.82,51.83,47.69,33.69,34.15,2.3,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:16,20.82,51.83,47.69,33.69,34.15,2.2,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:17,20.82,51.83,47.7,33.69,34.15,2.2,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:18,20.82,51.83,47.7,33.69,34.15,2.2,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:19,20.82,51.83,47.7,33.69,34.15,2.2,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:20,20.82,51.83,47.7,33.69,34.15,2.2,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:21,20.82,51.83,47.7,33.69,34.15,2.1,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:22,20.82,51.83,47.7,33.69,34.15,2.1,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:24,20.83,51.83,47.7,33.69,34.15,2.1,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:25,20.83,51.83,47.7,33.69,34.15,2.1,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:37:26,20.83,51.83,47.7,33.69,34.15,2.1,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
