    Time, Temp_C_H_up,SpCond_mS/cm_H_up, Cond_mS/cm_H_up,  TDS_g/L_H_up,   Sal_ppt_H_up,Turbid_NTU_H_up,  Chl_ug/L_H_up,Experiment,    Date,Sonde,Position,Site
12:23:00,18.98,56.15,49.7,36.5,37.37,2.6,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:01,18.98,56.15,49.7,36.5,37.37,2.6,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:02,18.98,56.15,49.69,36.5,37.37,2.6,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:04,18.98,56.14,49.69,36.49,37.36,2.6,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:05,18.98,56.14,49.69,36.49,37.36,2.6,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:06,18.98,56.15,49.69,36.49,37.37,2.6,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:07,18.98,56.15,49.69,36.5,37.37,2.6,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:08,18.98,56.15,49.69,36.5,37.37,2.6,1.4,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:09,18.98,56.15,49.69,36.49,37.37,2.6,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:10,18.98,56.15,49.69,36.49,37.37,2.5,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:12,18.98,56.14,49.69,36.49,37.36,2.5,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:13,18.98,56.14,49.69,36.49,37.36,2.5,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:14,18.98,56.14,49.69,36.49,37.36,2.5,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:15,18.98,56.14,49.69,36.49,37.36,2.5,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:16,18.98,56.15,49.69,36.49,37.37,2.5,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:17,18.98,56.15,49.69,36.5,37.37,2.5,1.4,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:18,18.98,56.15,49.7,36.5,37.37,2.5,1.5,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:20,18.99,56.15,49.7,36.49,37.37,2.4,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:21,18.99,56.14,49.69,36.49,37.36,2.4,1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:22,18.99,56.14,49.69,36.49,37.36,2.4,1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:23,18.99,56.14,49.69,36.49,37.36,2.4,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:24,18.99,56.14,49.69,36.49,37.36,2.4,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:25,18.99,56.14,49.69,36.49,37.36,2.4,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:26,18.99,56.14,49.69,36.49,37.36,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:28,18.99,56.14,49.69,36.49,37.36,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:29,18.99,56.14,49.7,36.49,37.36,2.3,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:30,18.99,56.15,49.7,36.5,37.37,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:31,18.99,56.15,49.7,36.5,37.37,2.3,1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:32,18.99,56.15,49.71,36.5,37.37,2.4,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:33,18.99,56.15,49.71,36.49,37.37,2.4,0.9,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:34,18.99,56.15,49.71,36.49,37.37,2.4,0.9,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:36,19,56.15,49.71,36.5,37.37,2.4,0.8,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:37,19,56.15,49.71,36.5,37.37,2.4,0.8,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:38,19,56.15,49.71,36.5,37.37,2.4,0.7,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:39,19,56.15,49.71,36.5,37.37,2.4,0.9,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:40,19,56.14,49.71,36.49,37.36,2.4,0.9,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:41,19,56.14,49.71,36.49,37.36,2.4,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:42,19,56.14,49.7,36.49,37.36,2.4,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:44,19,56.13,49.7,36.49,37.36,2.3,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:45,18.99,56.14,49.7,36.49,37.36,2.3,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:46,18.99,56.14,49.7,36.49,37.36,2.3,1.5,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:47,18.99,56.14,49.7,36.49,37.36,2.3,1.5,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:48,18.99,56.13,49.7,36.49,37.36,2.3,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:49,18.99,56.13,49.69,36.49,37.35,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:50,18.99,56.13,49.69,36.49,37.36,2.3,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:52,18.99,56.13,49.69,36.49,37.36,2.3,1.4,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:53,18.99,56.13,49.69,36.49,37.35,2.3,1.4,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:54,18.99,56.14,49.69,36.49,37.36,2.3,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:55,18.99,56.14,49.69,36.49,37.36,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:56,18.99,56.14,49.7,36.49,37.36,2.3,1.1,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:57,18.99,56.14,49.7,36.49,37.36,2.2,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:23:58,18.99,56.13,49.7,36.49,37.36,2.3,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:00,18.99,56.13,49.69,36.48,37.35,2.2,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:01,18.99,56.13,49.69,36.48,37.35,2.2,1.3,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:02,18.99,56.13,49.69,36.48,37.35,2.2,1.2,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:03,18.99,56.13,49.69,36.48,37.35,2.2,1.4,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:04,18.99,56.13,49.69,36.49,37.36,2.2,1.5,Side-by-side-before,4/17/19,H,Upstream,Deanza
12:24:05,18.99,56.13,49.7,36.49,37.36,2.2,1.7,Side-by-side-before,4/17/19,H,Upstream,Deanza
