    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
10:16:00,21.14,54.65,50.63,35.53,36.24,1.1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:01,21.14,54.65,50.63,35.53,36.24,1.1,3.6,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:02,21.14,54.65,50.63,35.52,36.24,1.1,3.5,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:03,21.14,54.65,50.63,35.52,36.24,1.1,3.6,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:04,21.14,54.65,50.63,35.52,36.24,1.1,3.7,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:05,21.14,54.65,50.63,35.52,36.24,1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:06,21.14,54.65,50.63,35.52,36.24,1.1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:08,21.14,54.65,50.63,35.52,36.24,1,3.7,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:09,21.14,54.65,50.63,35.52,36.24,1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:10,21.14,54.65,50.63,35.52,36.24,1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:11,21.14,54.65,50.62,35.52,36.24,1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:12,21.14,54.65,50.62,35.52,36.24,1.1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:13,21.14,54.65,50.62,35.52,36.24,1,3.8,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:14,21.14,54.65,50.62,35.52,36.24,1.1,3.7,Side-by-side-before,10/17/18,H,upstream,San Diego
10:16:16,21.14,54.65,50.62,35.52,36.24,1,3.5,Side-by-side-before,10/17/18,H,upstream,San Diego
