    Time, Temp_C,SpCond_mS/cm, Cond_mS/cm,  TDS_g/L,   Sal_ppt,Turbid_NTU,  Chl_ug/L,Experiment,    Date,Sonde,Position,Site 
16:23:00,16.37,46.02,38.44,29.91,29.89,21.7,5.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:01,16.37,46.02,38.44,29.91,29.89,21.7,5.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:02,16.38,46.02,38.44,29.91,29.89,21.7,4.9,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:04,16.38,46.02,38.44,29.91,29.89,21.7,4.8,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:05,16.38,46.02,38.44,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:06,16.38,46.02,38.44,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:07,16.38,46.02,38.44,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:08,16.38,46.02,38.44,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:09,16.38,46.02,38.44,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:10,16.38,46.02,38.44,29.91,29.89,21.7,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:11,16.38,46.02,38.44,29.91,29.89,21.7,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:12,16.38,46.02,38.44,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:13,16.38,46.02,38.44,29.91,29.89,21.7,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:14,16.38,46.02,38.44,29.91,29.89,21.7,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:15,16.38,46.02,38.44,29.91,29.89,21.7,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:16,16.38,46.01,38.44,29.91,29.89,21.7,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:17,16.38,46.01,38.44,29.91,29.89,21.7,4.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:18,16.38,46.01,38.44,29.91,29.89,21.7,4.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:19,16.38,46.01,38.44,29.91,29.89,21.7,4.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:20,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:21,16.37,46.02,38.44,29.91,29.9,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:22,16.37,46.02,38.44,29.91,29.9,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:23,16.37,46.02,38.44,29.91,29.9,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:24,16.37,46.02,38.44,29.91,29.9,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:25,16.37,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:26,16.38,46.02,38.44,29.91,29.89,21.6,4.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:27,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:28,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:29,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:30,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:32,16.38,46.01,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:33,16.38,46.02,38.44,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:34,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:35,16.38,46.01,38.44,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:36,16.38,46.01,38.44,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:37,16.38,46.02,38.44,29.91,29.89,21.6,4.8,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:38,16.38,46.01,38.44,29.91,29.89,21.6,4.9,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:39,16.38,46.01,38.44,29.91,29.89,21.6,4.8,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:40,16.38,46.01,38.44,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:41,16.38,46.01,38.44,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:42,16.38,46.01,38.44,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:43,16.38,46.01,38.44,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:44,16.38,46.02,38.44,29.91,29.89,21.6,4.9,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:45,16.38,46.02,38.44,29.91,29.89,21.6,4.8,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:46,16.38,46.02,38.44,29.91,29.89,21.5,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:47,16.38,46.02,38.44,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:48,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:49,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:50,16.38,46.02,38.44,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:51,16.38,46.02,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:52,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:53,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:54,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:55,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:56,16.38,46.02,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:57,16.38,46.02,38.44,29.91,29.89,21.6,4.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:23:58,16.38,46.01,38.44,29.91,29.89,21.6,4.4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:00,16.38,46.01,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:01,16.38,46.01,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:02,16.39,46.01,38.44,29.91,29.89,21.6,4.3,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:03,16.39,46.01,38.44,29.91,29.89,21.6,4.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:04,16.39,46.01,38.44,29.91,29.89,21.6,4.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:05,16.39,46.01,38.44,29.91,29.89,21.6,4,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:06,16.39,46.01,38.44,29.91,29.89,21.6,3.9,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:08,16.39,46.01,38.44,29.91,29.89,21.6,4.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:09,16.39,46.01,38.44,29.91,29.89,21.6,4.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:10,16.39,46.01,38.45,29.91,29.89,21.6,4.5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:11,16.39,46.01,38.45,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:12,16.39,46.01,38.45,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:13,16.39,46.01,38.45,29.91,29.89,21.6,4.6,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:14,16.39,46.01,38.45,29.91,29.89,21.6,4.7,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:16,16.39,46.01,38.45,29.91,29.89,21.7,4.8,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:17,16.39,46.02,38.45,29.91,29.89,21.8,5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:18,16.39,46.01,38.45,29.91,29.89,21.8,4.9,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:19,16.39,46.01,38.45,29.91,29.89,21.9,5,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:20,16.39,46.02,38.45,29.91,29.89,21.9,5.1,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:21,16.39,46.02,38.45,29.91,29.89,21.9,5.2,Side-by-side-before,11/7/18,H,Up,San Rafael
16:24:22,16.39,46.02,38.45,29.91,29.89,21.9,5.3,Side-by-side-before,11/7/18,H,Up,San Rafael
