    Time, Temp_C,SpCond_mS/cm, Cond_mS/cm,  TDS_g/L,   Sal_ppt,Turbid_NTU,  Chl_ug/L,Experiment,    Date,Sonde,Position,Site
9:43:00,23.13,46.2,44.55,30.03,30,19.2,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:01,23.13,46.2,44.55,30.03,30,19.4,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:02,23.13,46.2,44.55,30.03,30,19.4,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:03,23.13,46.2,44.55,30.03,30,19.6,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:04,23.13,46.2,44.55,30.03,30,19.7,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:05,23.13,46.2,44.55,30.03,30,19.7,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:06,23.13,46.2,44.55,30.03,30,19.7,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:07,23.13,46.2,44.55,30.03,30,19.8,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:08,23.13,46.2,44.55,30.03,30,20.1,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:09,23.13,46.2,44.55,30.03,30,20.1,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:10,23.13,46.2,44.55,30.03,30,20.2,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:11,23.13,46.2,44.55,30.03,30,20.2,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:12,23.13,46.2,44.55,30.03,30,20.3,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:13,23.13,46.2,44.55,30.03,30,20.3,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:14,23.14,46.2,44.55,30.03,30,20.5,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:15,23.14,46.2,44.55,30.03,30,20.5,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:16,23.14,46.2,44.56,30.03,30,20.6,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:17,23.14,46.2,44.56,30.03,30,20.6,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:18,23.14,46.2,44.56,30.03,30,20.6,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:19,23.14,46.2,44.56,30.03,30,20.7,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:20,23.14,46.2,44.56,30.03,30,20.7,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:21,23.14,46.2,44.56,30.03,30,20.7,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:22,23.14,46.2,44.56,30.03,30,20.8,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:23,23.14,46.2,44.56,30.03,30,20.8,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:24,23.14,46.2,44.56,30.03,30,20.9,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:25,23.14,46.2,44.56,30.03,30,20.9,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:26,23.14,46.2,44.56,30.03,30,21,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:27,23.14,46.2,44.56,30.03,30,21.1,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:28,23.14,46.2,44.56,30.03,30,21.1,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:29,23.14,46.2,44.56,30.03,30,21.1,5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:30,23.14,46.2,44.56,30.03,30,21.1,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:31,23.14,46.2,44.56,30.03,30,21.1,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:32,23.14,46.2,44.56,30.03,30,21.3,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:33,23.14,46.2,44.56,30.03,30,21.3,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:34,23.14,46.2,44.56,30.03,30,21.4,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:35,23.14,46.2,44.56,30.03,30,21.4,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:36,23.14,46.2,44.56,30.03,30,21.4,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:37,23.14,46.2,44.56,30.03,30,21.5,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:38,23.14,46.2,44.56,30.03,30,21.5,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:39,23.14,46.2,44.56,30.03,30,21.6,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:40,23.14,46.2,44.56,30.03,30,21.6,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:41,23.14,46.2,44.56,30.03,30,21.6,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:42,23.14,46.2,44.56,30.03,30,21.6,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:43,23.15,46.2,44.56,30.03,30,21.7,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:44,23.15,46.2,44.56,30.03,30,21.7,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:45,23.15,46.2,44.56,30.03,30,21.6,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:46,23.15,46.2,44.56,30.03,30,21.6,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:47,23.15,46.2,44.56,30.03,30,21.7,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:48,23.15,46.2,44.56,30.03,30,21.7,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:49,23.15,46.2,44.56,30.03,30,21.7,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:50,23.15,46.2,44.56,30.03,30,21.7,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:51,23.15,46.2,44.56,30.03,30,21.7,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:52,23.15,46.2,44.56,30.03,30,21.8,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:53,23.15,46.19,44.56,30.03,30,21.8,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:54,23.15,46.19,44.56,30.03,30,21.8,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:55,23.15,46.2,44.56,30.03,30,21.8,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:56,23.15,46.2,44.56,30.03,30,21.8,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:57,23.15,46.2,44.56,30.03,30,21.8,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:58,23.15,46.2,44.56,30.03,30,21.8,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:43:59,23.15,46.19,44.56,30.03,30,21.8,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:00,23.15,46.19,44.56,30.03,30,21.7,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:01,23.15,46.2,44.56,30.03,30,21.8,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:02,23.15,46.2,44.56,30.03,30,21.9,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:03,23.15,46.2,44.56,30.03,30,21.9,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:04,23.15,46.2,44.56,30.03,30,21.9,5.9,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:05,23.15,46.2,44.56,30.03,30,22,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:06,23.15,46.19,44.56,30.03,30,22,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:07,23.15,46.19,44.56,30.03,30,22.1,5.9,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:08,23.15,46.19,44.56,30.03,30,22,5.9,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:09,23.15,46.19,44.56,30.03,30,22.1,6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:10,23.15,46.19,44.56,30.03,30,22.2,5.9,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:11,23.15,46.19,44.56,30.03,30,22.2,5.9,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:12,23.15,46.19,44.56,30.03,30,22.2,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:13,23.15,46.19,44.56,30.03,30,22.1,5.8,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:14,23.15,46.19,44.56,30.03,30,22.1,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:15,23.15,46.19,44.56,30.03,30,22.1,5.7,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:16,23.15,46.19,44.56,30.03,30,22.1,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:17,23.15,46.19,44.56,30.03,30,22,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:18,23.15,46.19,44.56,30.03,30,22,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:19,23.15,46.19,44.56,30.02,29.99,22,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:20,23.15,46.19,44.56,30.02,29.99,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:21,23.15,46.19,44.56,30.03,30,22,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:22,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:23,23.15,46.19,44.56,30.03,30,21.9,5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:24,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:25,23.15,46.19,44.56,30.03,30,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:26,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:27,23.15,46.19,44.56,30.03,30,22,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:28,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:29,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:30,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:31,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:32,23.15,46.19,44.56,30.03,30,22,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:33,23.15,46.19,44.56,30.03,30,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:34,23.15,46.19,44.56,30.03,30,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:35,23.15,46.19,44.56,30.02,29.99,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:36,23.15,46.19,44.56,30.03,30,22,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:37,23.15,46.19,44.56,30.02,29.99,22.1,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:38,23.15,46.19,44.56,30.02,29.99,22.1,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:39,23.15,46.19,44.56,30.02,29.99,22.2,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:40,23.15,46.19,44.56,30.02,29.99,22.2,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:41,23.15,46.19,44.56,30.02,29.99,22.1,5.1,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:42,23.15,46.19,44.56,30.02,29.99,22.2,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:43,23.16,46.19,44.56,30.02,29.99,22.2,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:44,23.16,46.19,44.56,30.02,29.99,22.2,5.2,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:45,23.16,46.19,44.56,30.02,29.99,22.2,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:46,23.16,46.19,44.56,30.02,29.99,22.2,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:47,23.16,46.19,44.56,30.02,29.99,22.3,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:48,23.16,46.19,44.56,30.02,29.99,22.3,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:49,23.16,46.19,44.56,30.02,29.99,22.3,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:50,23.16,46.19,44.56,30.02,29.99,22.3,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:51,23.16,46.19,44.56,30.02,29.99,22.3,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:52,23.16,46.19,44.56,30.02,29.99,22.3,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:53,23.16,46.19,44.56,30.02,29.99,22.3,5.6,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:54,23.16,46.19,44.56,30.02,29.99,22.4,5.4,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:55,23.16,46.19,44.56,30.02,29.99,22.4,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:56,23.16,46.19,44.56,30.02,29.99,22.4,5.5,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:57,23.16,46.19,44.56,30.02,29.99,22.3,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:58,23.15,46.19,44.56,30.02,29.99,22.3,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
9:44:59,23.15,46.19,44.56,30.02,29.99,22.3,5.3,Side-by-side-before,7/18/18,G,Down,San Rafael
