    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
8:42:00,22.92,45.4,43.6,29.51,29.42,38.6,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:01,22.92,45.4,43.6,29.51,29.42,38.4,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:02,22.93,45.39,43.6,29.51,29.42,38.7,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:03,22.93,45.39,43.6,29.51,29.42,38.9,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:04,22.93,45.39,43.6,29.5,29.42,39.4,6.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:05,22.94,45.39,43.6,29.5,29.42,39.9,6.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:06,22.94,45.39,43.6,29.5,29.42,40.1,6.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:08,22.94,45.39,43.61,29.51,29.42,40,6.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:09,22.94,45.39,43.61,29.51,29.42,39.9,6.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:10,22.94,45.4,43.61,29.51,29.42,39.6,6.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:11,22.93,45.4,43.61,29.51,29.42,39.4,6.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:12,22.93,45.4,43.61,29.51,29.42,39.1,6.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:13,22.93,45.4,43.6,29.51,29.43,38.6,6.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:14,22.93,45.4,43.6,29.51,29.43,38.5,6.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:16,22.92,45.4,43.6,29.51,29.43,38,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:17,22.92,45.4,43.6,29.51,29.43,37.7,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:18,22.91,45.41,43.59,29.51,29.43,37.3,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:19,22.91,45.41,43.59,29.51,29.43,37.2,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:20,22.91,45.4,43.59,29.51,29.43,36.9,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:21,22.91,45.4,43.59,29.51,29.43,36.6,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:22,22.91,45.4,43.59,29.51,29.43,36.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:24,22.91,45.4,43.59,29.51,29.43,36.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:25,22.92,45.4,43.59,29.51,29.42,35.9,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:26,22.92,45.4,43.59,29.51,29.42,35.7,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:27,22.92,45.4,43.59,29.51,29.42,35.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:28,22.92,45.4,43.59,29.51,29.42,35.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:29,22.92,45.4,43.59,29.51,29.42,35.2,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:30,22.92,45.4,43.59,29.51,29.42,35,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:32,22.92,45.4,43.59,29.51,29.42,34.7,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:33,22.92,45.4,43.59,29.51,29.43,34.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:34,22.91,45.4,43.59,29.51,29.43,34.3,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:35,22.91,45.4,43.59,29.51,29.43,34.2,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:36,22.91,45.4,43.59,29.51,29.43,34.1,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:37,22.91,45.4,43.59,29.51,29.43,33.9,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:38,22.91,45.4,43.59,29.51,29.43,33.8,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:40,22.92,45.4,43.59,29.51,29.43,33.6,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:41,22.92,45.4,43.59,29.51,29.42,33.4,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:42,22.92,45.4,43.59,29.51,29.42,33.3,5.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:43,22.92,45.4,43.6,29.51,29.42,33.3,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:44,22.92,45.4,43.6,29.51,29.42,33.2,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:45,22.92,45.4,43.6,29.51,29.43,33.2,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:46,22.92,45.4,43.59,29.51,29.43,33.1,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:48,22.92,45.4,43.59,29.51,29.43,32.8,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:49,22.92,45.4,43.59,29.51,29.43,32.8,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:50,22.92,45.4,43.59,29.51,29.43,32.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:51,22.92,45.4,43.59,29.51,29.43,32.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:52,22.91,45.4,43.59,29.51,29.43,32.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:53,22.91,45.4,43.59,29.51,29.43,32.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:54,22.91,45.4,43.59,29.51,29.43,32.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:56,22.91,45.4,43.59,29.51,29.42,32.2,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:57,22.91,45.4,43.59,29.51,29.42,32.2,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:58,22.92,45.4,43.59,29.51,29.42,32.1,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:42:59,22.92,45.4,43.59,29.51,29.42,32.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:00,22.92,45.4,43.59,29.51,29.42,32,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:01,22.92,45.4,43.59,29.51,29.42,31.9,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:02,22.92,45.4,43.59,29.51,29.42,31.9,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:04,22.92,45.4,43.59,29.51,29.42,31.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:05,22.92,45.39,43.59,29.51,29.42,31.7,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:06,22.92,45.4,43.59,29.51,29.42,31.5,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:07,22.92,45.4,43.59,29.51,29.42,31.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:08,22.92,45.39,43.59,29.51,29.42,31.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:09,22.92,45.4,43.59,29.51,29.42,31.3,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
