Date,Site,Experiment,avg_depth_cm,d_bw_sondes_m,reliable_data,data_possible_influence,Wind,G_upstream,Daylight,Sonde_fell,Boat_wake,Algae,Notes
7/17/18,San Rafael,Filtration,72.5,21,TRUE,Wind,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"11:40 RWT  up with drone, start 11;56 TWT cleared reef, reefs just submerged,delete 12:13 - 12:18 (up sonde fell), looks like deleted in original csv. 12:10 wind almost white caps, 12:18 restart water much more turbid visually everywhere "
7/18/18,San Rafael,Filtration,78.75,21,TRUE,Velocity,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"9:57 RWT with drone, Super slow water flow through reef, 10:28 kicked sed at up G, 10:29 RWT with some reef tops exposed, 12:01:30 RWT, 12:10:45 adjusted location of down, 12:20 orignial start time, 10:24 wind picking up, 12:25 Up sonde fell, 12:29 restart trial, 12:53:15 RWT with drone"
7/27/18,Morro Bay,Filtration,47.5,26,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"end time cut, sonde fell and looked at turbidity spike. Field notes: Sonde Fell (prob recorded spike), probably before 8:55 mudflat flooded, probably changes flow to parallel along oyster lines (~90 degree change)"
7/28/18,Morro Bay,Filtration,29.5,27,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"9:13 water almost flooded mud flat; flow about to shift, 9:17:45 RWT upstream with drone, 9:22 water fully flooded lines, flow started to move East; Down sonde almost touching floating lines"
9/10/18,San Rafael,Filtration,89,25.3,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"water looks like it is flowing shore to bay across reef, but RWT looks like its just a slight surface current/wind; about 50 terns hanging out on PVC surrounding reef"
10/17/18,San Diego,Filtration,1.15,4,FALSE,Setup,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"adnormal setup, adjusted for FLUPSY, no sbs_a"
10/25/18,Deanza,Filtration,17.5,19.2,TRUE,Sensor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Next time sensors at 0cm, arrive before 1.5' MLLW, data gaps from sondes not recording, Ryan and Althea in field, Sonde G looks to be reading higher across all sbs 2018_10_25 and 2018_10_26 maybe driving filtration trend"
10/26/18,Deanza,Filtration,19,19.2,TRUE,Sensor,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"15:02 waterflow too fast, 15:28 boat wake, 15:33 boat wake, 15:38:45 boat wake"
11/7/18,San Rafael,Neg Control 1,39.5,11.6,TRUE,Sensor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Negative Control, 16:24 RWT west of reef array, substrate adjacent to reef is mud. I sink to my ankle on average. Paddle boarder asked about research, did not write down V at beginning of trial. I did measure it. Had to reposition sondes outside of RWT route because of disturbed mud from my walking"
11/8/18,San Rafael,Filtration,69.33,12.3,TRUE,Sensor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"check for turbidty spike at end sbs_b, not sure if set up was appropriate but Up is ambient and looking at RWT DS is measuring reef affected water, trial limited by daylight"
4/15/19,Deanza,Filtration,23,16.4,TRUE,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"11:19:30 boat wake, 11:20 sediment resuspended, 11:27 sediment still resuspended upshore of bed and over mid bed to downstream,  11:36 stop trial G sonde out of water, Althea Rayn and Chelsea in field"
4/17/19,Deanza,Filtration,0.17,16.4,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"12:38 boat wake, slight breeze, 12:48 temp sensor almost out of water, Althea and Carmen in the field"
5/9/19,Deanza,Filtration,32.5,15,TRUE,Sensor,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"filtration trial run before first light, 5:30 first ligth,  no other field notes, sensor H seems to be reading higher in sbs"
5/10/19,Deanza,Filtration,31.25,14.8,TRUE,Sensor,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Field notes: after first light, 5:50 boat wake, 6:32 boat wake, 6:58:30 boat wake UCI crew coach boats headed back to boat house, no apparent spikes in Chl from boat wake, sensor H reading higher"
5/10/19,Shellmaker,Filtration,38.5,13,TRUE,Sensor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"11:27 RWT, 12:01 RWT, first shellmaker trial, H sensor reading higher"
