Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
9:31:09,17.68,56.21,48.36,36.54,37.41,8.3,2.1,sbs_before,6/4/19,G,Up,Morro Bay
9:31:11,17.68,56.21,48.36,36.54,37.41,8.2,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:12,17.68,56.21,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:13,17.68,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:14,17.68,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:16,17.67,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:17,17.67,56.22,48.35,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:18,17.67,56.22,48.35,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:19,17.67,56.22,48.35,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:20,17.67,56.22,48.35,36.54,37.41,8.1,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:31:21,17.67,56.22,48.35,36.54,37.41,8.1,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:31:22,17.67,56.22,48.35,36.54,37.41,8.1,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:31:24,17.67,56.22,48.35,36.54,37.41,8.1,3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:25,17.67,56.22,48.35,36.54,37.41,8.1,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:31:26,17.67,56.22,48.34,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:27,17.67,56.22,48.34,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:28,17.67,56.22,48.34,36.54,37.41,8,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:29,17.67,56.22,48.34,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:30,17.67,56.22,48.34,36.54,37.41,8.1,2.2,sbs_before,6/4/19,G,Up,Morro Bay
9:31:32,17.67,56.22,48.35,36.54,37.41,8.1,2,sbs_before,6/4/19,G,Up,Morro Bay
9:31:33,17.67,56.22,48.35,36.54,37.41,8.1,2.1,sbs_before,6/4/19,G,Up,Morro Bay
9:31:34,17.67,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:35,17.67,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:36,17.67,56.22,48.35,36.54,37.41,8.1,2.3,sbs_before,6/4/19,G,Up,Morro Bay
9:31:37,17.67,56.21,48.35,36.54,37.41,8.1,2.4,sbs_before,6/4/19,G,Up,Morro Bay
9:31:38,17.67,56.21,48.35,36.54,37.41,8.1,2.4,sbs_before,6/4/19,G,Up,Morro Bay
9:31:40,17.67,56.21,48.35,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:41,17.67,56.21,48.35,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:42,17.67,56.21,48.35,36.54,37.41,8.1,2.4,sbs_before,6/4/19,G,Up,Morro Bay
9:31:43,17.67,56.21,48.35,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:44,17.67,56.22,48.35,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:45,17.67,56.22,48.35,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:46,17.67,56.22,48.35,36.54,37.41,8.1,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:31:48,17.67,56.22,48.35,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:49,17.67,56.22,48.35,36.54,37.41,8.1,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:31:50,17.67,56.22,48.35,36.54,37.41,8.1,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:51,17.67,56.21,48.35,36.54,37.41,8.1,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:31:52,17.67,56.21,48.35,36.54,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:31:53,17.67,56.21,48.35,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:54,17.67,56.21,48.35,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:56,17.68,56.21,48.35,36.54,37.4,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:57,17.68,56.21,48.35,36.54,37.4,7.9,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:31:58,17.68,56.21,48.35,36.54,37.4,8,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:31:59,17.68,56.21,48.35,36.54,37.4,8,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:32:00,17.68,56.21,48.35,36.54,37.41,8,2.9,sbs_before,6/4/19,G,Up,Morro Bay
9:32:01,17.68,56.21,48.35,36.54,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:02,17.68,56.21,48.35,36.54,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:04,17.67,56.21,48.35,36.54,37.41,7.9,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:05,17.68,56.21,48.35,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:06,17.67,56.21,48.35,36.54,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:07,17.67,56.22,48.35,36.54,37.41,8,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:32:08,17.67,56.22,48.35,36.54,37.41,8,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:32:09,17.67,56.22,48.35,36.54,37.41,8,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:10,17.67,56.22,48.35,36.54,37.41,8,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:12,17.67,56.22,48.35,36.54,37.41,7.9,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:13,17.67,56.22,48.35,36.54,37.41,7.9,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:32:14,17.67,56.22,48.35,36.54,37.41,7.9,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:15,17.67,56.22,48.35,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:16,17.67,56.22,48.35,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:17,17.67,56.22,48.35,36.54,37.41,7.9,2.8,sbs_before,6/4/19,G,Up,Morro Bay
9:32:18,17.67,56.22,48.35,36.54,37.41,7.9,3,sbs_before,6/4/19,G,Up,Morro Bay
9:32:20,17.67,56.22,48.35,36.54,37.41,7.9,3,sbs_before,6/4/19,G,Up,Morro Bay
9:32:21,17.67,56.22,48.35,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:22,17.67,56.22,48.35,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:23,17.67,56.22,48.35,36.54,37.41,7.9,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:24,17.66,56.22,48.35,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:25,17.66,56.22,48.34,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:26,17.66,56.22,48.34,36.54,37.41,7.9,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:28,17.66,56.22,48.34,36.54,37.41,7.9,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:29,17.66,56.22,48.34,36.55,37.41,7.9,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:30,17.66,56.22,48.34,36.54,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:31,17.66,56.22,48.34,36.55,37.41,8,2.5,sbs_before,6/4/19,G,Up,Morro Bay
9:32:32,17.66,56.23,48.34,36.55,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:33,17.66,56.23,48.34,36.55,37.42,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:34,17.66,56.23,48.34,36.55,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
9:32:36,17.66,56.23,48.34,36.55,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:37,17.66,56.22,48.34,36.55,37.41,8,2.6,sbs_before,6/4/19,G,Up,Morro Bay
9:32:38,17.66,56.22,48.34,36.55,37.41,8,2.7,sbs_before,6/4/19,G,Up,Morro Bay
