Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
11:16:08,17.43,57.16,48.9,37.16,38.12,8.7,2.7,sbs_before,6/6/19,H,Up,Morro Bay
11:16:09,17.43,57.16,48.9,37.16,38.12,8.7,2.8,sbs_before,6/6/19,H,Up,Morro Bay
11:16:10,17.43,57.17,48.9,37.16,38.12,8.7,2.6,sbs_before,6/6/19,H,Up,Morro Bay
11:16:11,17.43,57.17,48.9,37.16,38.12,8.7,2.7,sbs_before,6/6/19,H,Up,Morro Bay
11:16:12,17.43,57.17,48.9,37.16,38.12,8.7,2.8,sbs_before,6/6/19,H,Up,Morro Bay
11:16:13,17.43,57.17,48.9,37.16,38.12,8.7,2.5,sbs_before,6/6/19,H,Up,Morro Bay
11:16:14,17.43,57.17,48.91,37.16,38.12,8.7,2.5,sbs_before,6/6/19,H,Up,Morro Bay
11:16:16,17.43,57.17,48.91,37.16,38.12,8.9,2.6,sbs_before,6/6/19,H,Up,Morro Bay
11:16:17,17.43,57.16,48.9,37.16,38.12,8.8,2.5,sbs_before,6/6/19,H,Up,Morro Bay
11:16:18,17.43,57.16,48.9,37.16,38.11,8.9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:16:19,17.43,57.16,48.9,37.16,38.11,8.9,3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:20,17.43,57.16,48.9,37.16,38.12,8.9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:21,17.42,57.17,48.89,37.16,38.12,8.9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:22,17.42,57.17,48.89,37.16,38.12,8.9,3.1,sbs_before,6/6/19,H,Up,Morro Bay
11:16:24,17.42,57.17,48.89,37.16,38.12,8.9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:16:25,17.42,57.17,48.89,37.16,38.12,8.9,2.7,sbs_before,6/6/19,H,Up,Morro Bay
11:16:26,17.42,57.17,48.89,37.16,38.12,8.9,2.6,sbs_before,6/6/19,H,Up,Morro Bay
11:16:27,17.42,57.17,48.89,37.16,38.12,8.9,2.5,sbs_before,6/6/19,H,Up,Morro Bay
11:16:28,17.42,57.17,48.89,37.16,38.12,8.9,2.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:29,17.42,57.17,48.89,37.16,38.12,8.9,2.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:30,17.42,57.17,48.89,37.16,38.12,8.8,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:32,17.42,57.17,48.89,37.16,38.12,8.8,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:33,17.42,57.17,48.89,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:34,17.42,57.17,48.89,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:35,17.42,57.17,48.89,37.16,38.12,8.9,2.4,sbs_before,6/6/19,H,Up,Morro Bay
11:16:36,17.42,57.17,48.89,37.16,38.12,8.9,2.5,sbs_before,6/6/19,H,Up,Morro Bay
11:16:37,17.42,57.17,48.89,37.16,38.12,8.9,2.4,sbs_before,6/6/19,H,Up,Morro Bay
11:16:38,17.42,57.17,48.89,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:40,17.41,57.17,48.89,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:41,17.41,57.17,48.88,37.16,38.12,8.9,2.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:42,17.41,57.17,48.88,37.16,38.12,8.9,2.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:43,17.41,57.17,48.88,37.16,38.12,8.9,2.4,sbs_before,6/6/19,H,Up,Morro Bay
11:16:44,17.41,57.17,48.88,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:45,17.41,57.17,48.88,37.16,38.12,8.9,2.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:46,17.41,57.17,48.88,37.16,38.12,8.9,2.4,sbs_before,6/6/19,H,Up,Morro Bay
11:16:48,17.4,57.17,48.88,37.16,38.12,8.9,2.6,sbs_before,6/6/19,H,Up,Morro Bay
11:16:49,17.4,57.18,48.88,37.16,38.12,9,2.8,sbs_before,6/6/19,H,Up,Morro Bay
11:16:50,17.4,57.18,48.88,37.16,38.12,9,2.8,sbs_before,6/6/19,H,Up,Morro Bay
11:16:51,17.4,57.18,48.88,37.16,38.12,9,2.7,sbs_before,6/6/19,H,Up,Morro Bay
11:16:52,17.4,57.18,48.88,37.16,38.12,9,2.7,sbs_before,6/6/19,H,Up,Morro Bay
11:16:53,17.4,57.17,48.88,37.16,38.12,9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:16:54,17.4,57.17,48.88,37.16,38.12,9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:16:56,17.4,57.17,48.87,37.16,38.12,9,3.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:57,17.4,57.17,48.87,37.16,38.12,9,3.2,sbs_before,6/6/19,H,Up,Morro Bay
11:16:58,17.39,57.17,48.87,37.16,38.12,9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:16:59,17.39,57.17,48.87,37.16,38.12,9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:17:00,17.39,57.17,48.86,37.16,38.12,9,3.6,sbs_before,6/6/19,H,Up,Morro Bay
11:17:01,17.39,57.17,48.86,37.16,38.12,9,3.5,sbs_before,6/6/19,H,Up,Morro Bay
11:17:02,17.39,57.17,48.86,37.16,38.12,9,3.5,sbs_before,6/6/19,H,Up,Morro Bay
11:17:04,17.39,57.17,48.86,37.16,38.12,8.9,3.6,sbs_before,6/6/19,H,Up,Morro Bay
11:17:05,17.39,57.17,48.86,37.16,38.12,9,3.6,sbs_before,6/6/19,H,Up,Morro Bay
11:17:06,17.39,57.17,48.86,37.16,38.12,8.9,3.6,sbs_before,6/6/19,H,Up,Morro Bay
11:17:07,17.39,57.17,48.86,37.16,38.12,8.9,3.7,sbs_before,6/6/19,H,Up,Morro Bay
11:17:08,17.39,57.17,48.86,37.16,38.12,8.9,3.8,sbs_before,6/6/19,H,Up,Morro Bay
11:17:09,17.39,57.17,48.86,37.16,38.12,8.9,3.7,sbs_before,6/6/19,H,Up,Morro Bay
11:17:10,17.39,57.17,48.86,37.16,38.12,8.9,3.6,sbs_before,6/6/19,H,Up,Morro Bay
11:17:12,17.39,57.17,48.86,37.16,38.12,8.9,3.5,sbs_before,6/6/19,H,Up,Morro Bay
11:17:13,17.39,57.17,48.86,37.16,38.12,8.9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:17:14,17.39,57.17,48.86,37.16,38.12,8.9,3.3,sbs_before,6/6/19,H,Up,Morro Bay
11:17:15,17.39,57.17,48.86,37.16,38.12,8.9,3.2,sbs_before,6/6/19,H,Up,Morro Bay
11:17:16,17.39,57.17,48.86,37.16,38.12,8.9,3.1,sbs_before,6/6/19,H,Up,Morro Bay
11:17:17,17.39,57.17,48.86,37.16,38.12,8.9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:17:18,17.39,57.17,48.86,37.16,38.12,8.9,2.9,sbs_before,6/6/19,H,Up,Morro Bay
11:17:20,17.39,57.17,48.86,37.16,38.12,8.9,3.2,sbs_before,6/6/19,H,Up,Morro Bay
