Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
5:35:00,18.89,55.23,48.79,35.9,36.68,2.4,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:01,18.89,55.23,48.79,35.9,36.68,2.3,4.9,sbs_before,6/8/19,G,Down,Deanza
5:35:02,18.88,55.24,48.79,35.9,36.69,2.3,4.9,sbs_before,6/8/19,G,Down,Deanza
5:35:03,18.88,55.24,48.79,35.9,36.69,2.3,4.9,sbs_before,6/8/19,G,Down,Deanza
5:35:04,18.88,55.24,48.79,35.91,36.69,2.3,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:05,18.88,55.24,48.79,35.91,36.69,2.3,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:06,18.88,55.24,48.79,35.91,36.69,2.3,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:08,18.88,55.24,48.79,35.91,36.69,2.3,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:09,18.88,55.24,48.79,35.91,36.69,2.3,4.8,sbs_before,6/8/19,G,Down,Deanza
5:35:10,18.88,55.24,48.79,35.91,36.69,2.3,5,sbs_before,6/8/19,G,Down,Deanza
5:35:11,18.88,55.24,48.79,35.91,36.69,2.3,4.9,sbs_before,6/8/19,G,Down,Deanza
5:35:12,18.88,55.24,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:13,18.88,55.24,48.79,35.91,36.69,2.3,5.1,sbs_before,6/8/19,G,Down,Deanza
5:35:14,18.88,55.24,48.79,35.91,36.69,2.3,5,sbs_before,6/8/19,G,Down,Deanza
5:35:16,18.88,55.24,48.79,35.9,36.69,2.3,5.1,sbs_before,6/8/19,G,Down,Deanza
5:35:17,18.89,55.24,48.79,35.9,36.68,2.3,5.1,sbs_before,6/8/19,G,Down,Deanza
5:35:18,18.89,55.23,48.79,35.9,36.68,2.4,4.9,sbs_before,6/8/19,G,Down,Deanza
5:35:19,18.89,55.23,48.79,35.9,36.68,2.3,5,sbs_before,6/8/19,G,Down,Deanza
5:35:20,18.89,55.23,48.79,35.9,36.68,2.3,5.1,sbs_before,6/8/19,G,Down,Deanza
5:35:21,18.89,55.24,48.79,35.9,36.68,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:22,18.89,55.24,48.79,35.9,36.68,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:24,18.89,55.24,48.79,35.9,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:25,18.89,55.24,48.79,35.9,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:26,18.88,55.24,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:27,18.88,55.24,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:28,18.88,55.24,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:29,18.88,55.25,48.79,35.91,36.69,2.3,5.3,sbs_before,6/8/19,G,Down,Deanza
5:35:30,18.88,55.25,48.79,35.91,36.69,2.3,5.3,sbs_before,6/8/19,G,Down,Deanza
5:35:32,18.88,55.25,48.79,35.91,36.69,2.3,5,sbs_before,6/8/19,G,Down,Deanza
5:35:33,18.88,55.25,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:34,18.88,55.25,48.79,35.91,36.69,2.3,5.2,sbs_before,6/8/19,G,Down,Deanza
5:35:35,18.88,55.25,48.79,35.91,36.69,2.3,5.3,sbs_before,6/8/19,G,Down,Deanza
5:35:36,18.88,55.25,48.79,35.91,36.69,2.3,5.3,sbs_before,6/8/19,G,Down,Deanza
5:35:37,18.88,55.25,48.79,35.91,36.69,2.3,5.4,sbs_before,6/8/19,G,Down,Deanza
5:35:38,18.88,55.25,48.79,35.91,36.69,2.3,5.5,sbs_before,6/8/19,G,Down,Deanza
5:35:40,18.88,55.25,48.79,35.91,36.69,2.3,5.5,sbs_before,6/8/19,G,Down,Deanza
5:35:41,18.88,55.24,48.79,35.91,36.69,2.3,5.7,sbs_before,6/8/19,G,Down,Deanza
5:35:42,18.88,55.24,48.79,35.91,36.69,2.3,5.7,sbs_before,6/8/19,G,Down,Deanza
