Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
9:12:00,19,48.55,42.99,31.56,31.75,16.1,9.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:01,19,48.56,42.99,31.56,31.75,15.5,8.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:02,19,48.56,42.99,31.56,31.75,15.3,8.5,sbs_before,5/22/19,G,Down,Shellmaker
9:12:04,19,48.56,43,31.56,31.75,14.7,7.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:05,19,48.56,43,31.56,31.75,14.4,7.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:06,19.01,48.56,43,31.56,31.76,14.1,6.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:07,19.01,48.56,43,31.57,31.76,13.9,6.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:08,19.01,48.56,43.01,31.57,31.76,13.6,6.6,sbs_before,5/22/19,G,Down,Shellmaker
9:12:09,19.01,48.57,43.01,31.57,31.76,13.1,6.2,sbs_before,5/22/19,G,Down,Shellmaker
9:12:10,19.01,48.57,43.01,31.57,31.76,13,6.3,sbs_before,5/22/19,G,Down,Shellmaker
9:12:12,19.01,48.57,43.01,31.57,31.76,12.6,5.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:13,19.01,48.57,43.02,31.57,31.76,12.3,5.5,sbs_before,5/22/19,G,Down,Shellmaker
9:12:14,19.02,48.57,43.02,31.57,31.76,11.9,5.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:15,19.02,48.57,43.02,31.57,31.76,11.9,5,sbs_before,5/22/19,G,Down,Shellmaker
9:12:16,19.02,48.58,43.03,31.57,31.77,11.5,4.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:17,19.02,48.58,43.03,31.58,31.77,11.2,4.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:18,19.02,48.58,43.03,31.58,31.77,11.1,4.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:20,19.02,48.58,43.04,31.58,31.77,10.8,4.4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:21,19.02,48.59,43.04,31.58,31.77,10.4,4.2,sbs_before,5/22/19,G,Down,Shellmaker
9:12:22,19.02,48.59,43.04,31.58,31.78,10.1,4.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:23,19.02,48.59,43.05,31.58,31.78,10,3.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:24,19.03,48.59,43.05,31.59,31.78,9.8,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:25,19.03,48.6,43.05,31.59,31.78,9.4,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:26,19.03,48.6,43.05,31.59,31.78,9.4,3.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:28,19.03,48.6,43.06,31.59,31.78,9,4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:29,19.03,48.6,43.06,31.59,31.78,8.7,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:30,19.03,48.6,43.06,31.59,31.79,8.5,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:31,19.03,48.6,43.06,31.59,31.79,8.4,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:32,19.03,48.61,43.06,31.59,31.79,8.3,3.6,sbs_before,5/22/19,G,Down,Shellmaker
9:12:33,19.03,48.61,43.07,31.59,31.79,8,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:34,19.03,48.6,43.07,31.59,31.79,7.9,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:36,19.04,48.6,43.07,31.59,31.79,7.7,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:37,19.04,48.6,43.07,31.59,31.79,7.5,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:38,19.04,48.6,43.07,31.59,31.79,7.3,3.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:39,19.04,48.6,43.07,31.59,31.79,7.3,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:40,19.04,48.6,43.07,31.59,31.79,7.2,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:41,19.04,48.61,43.08,31.59,31.79,7,3.5,sbs_before,5/22/19,G,Down,Shellmaker
9:12:42,19.04,48.61,43.08,31.59,31.79,6.9,3.6,sbs_before,5/22/19,G,Down,Shellmaker
9:12:44,19.05,48.61,43.08,31.59,31.79,6.8,3.9,sbs_before,5/22/19,G,Down,Shellmaker
9:12:45,19.05,48.61,43.08,31.6,31.79,6.5,4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:46,19.04,48.61,43.08,31.6,31.79,6.4,4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:47,19.05,48.61,43.08,31.6,31.79,6.4,4.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:48,19.05,48.61,43.09,31.6,31.79,6.2,4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:49,19.05,48.61,43.09,31.6,31.79,6.1,4.2,sbs_before,5/22/19,G,Down,Shellmaker
9:12:50,19.05,48.61,43.09,31.6,31.79,6.1,4.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:52,19.05,48.61,43.09,31.6,31.79,5.9,4.1,sbs_before,5/22/19,G,Down,Shellmaker
9:12:53,19.06,48.61,43.09,31.6,31.79,5.8,4,sbs_before,5/22/19,G,Down,Shellmaker
9:12:54,19.06,48.6,43.09,31.59,31.79,5.7,3.8,sbs_before,5/22/19,G,Down,Shellmaker
9:12:55,19.06,48.6,43.09,31.59,31.79,5.6,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:56,19.07,48.6,43.09,31.59,31.79,5.6,3.7,sbs_before,5/22/19,G,Down,Shellmaker
9:12:57,19.07,48.6,43.09,31.59,31.78,5.6,3.5,sbs_before,5/22/19,G,Down,Shellmaker
9:12:58,19.07,48.6,43.09,31.59,31.78,5.6,3.6,sbs_before,5/22/19,G,Down,Shellmaker
