Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
16:19:00,14.71,45.98,36.95,29.89,29.84,30.7,4.3,sbs_before,11/8/18,H,Up,San Rafael
16:19:01,14.71,45.98,36.95,29.89,29.84,30.6,4.5,sbs_before,11/8/18,H,Up,San Rafael
16:19:02,14.71,45.98,36.95,29.89,29.84,30.6,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:03,14.71,45.98,36.95,29.89,29.84,30.6,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:04,14.71,45.98,36.95,29.89,29.84,30.5,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:05,14.71,45.98,36.94,29.89,29.84,30.5,4.8,sbs_before,11/8/18,H,Up,San Rafael
16:19:06,14.71,45.98,36.94,29.89,29.84,30.6,4.8,sbs_before,11/8/18,H,Up,San Rafael
16:19:08,14.71,45.98,36.94,29.89,29.84,30.7,4.7,sbs_before,11/8/18,H,Up,San Rafael
16:19:09,14.71,45.98,36.94,29.89,29.84,30.7,4.9,sbs_before,11/8/18,H,Up,San Rafael
16:19:10,14.71,45.98,36.94,29.89,29.84,30.6,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:11,14.71,45.98,36.94,29.89,29.84,30.6,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:12,14.71,45.98,36.94,29.89,29.84,30.5,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:13,14.71,45.98,36.94,29.89,29.84,30.5,4.7,sbs_before,11/8/18,H,Up,San Rafael
16:19:14,14.71,45.98,36.95,29.89,29.84,30.5,4.8,sbs_before,11/8/18,H,Up,San Rafael
16:19:16,14.71,45.98,36.95,29.89,29.84,30.5,4.7,sbs_before,11/8/18,H,Up,San Rafael
16:19:17,14.71,45.98,36.95,29.89,29.84,30.6,4.6,sbs_before,11/8/18,H,Up,San Rafael
16:19:18,14.71,45.99,36.95,29.89,29.84,30.7,4.5,sbs_before,11/8/18,H,Up,San Rafael
16:19:19,14.71,45.99,36.95,29.89,29.84,30.7,4.5,sbs_before,11/8/18,H,Up,San Rafael
16:19:20,14.71,45.99,36.95,29.89,29.84,30.8,4.4,sbs_before,11/8/18,H,Up,San Rafael
