Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
09:43:00,23.13,46.2,44.55,30.03,30,19.2,5.7,sbs_before,7/18/18,G,Down,San Rafael
09:43:01,23.13,46.2,44.55,30.03,30,19.4,5.7,sbs_before,7/18/18,G,Down,San Rafael
09:43:02,23.13,46.2,44.55,30.03,30,19.4,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:03,23.13,46.2,44.55,30.03,30,19.6,5.8,sbs_before,7/18/18,G,Down,San Rafael
09:43:04,23.13,46.2,44.55,30.03,30,19.7,5.7,sbs_before,7/18/18,G,Down,San Rafael
09:43:05,23.13,46.2,44.55,30.03,30,19.7,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:06,23.13,46.2,44.55,30.03,30,19.7,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:07,23.13,46.2,44.55,30.03,30,19.8,5.4,sbs_before,7/18/18,G,Down,San Rafael
09:43:08,23.13,46.2,44.55,30.03,30,20.1,5.4,sbs_before,7/18/18,G,Down,San Rafael
09:43:09,23.13,46.2,44.55,30.03,30,20.1,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:10,23.13,46.2,44.55,30.03,30,20.2,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:11,23.13,46.2,44.55,30.03,30,20.2,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:12,23.13,46.2,44.55,30.03,30,20.3,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:13,23.13,46.2,44.55,30.03,30,20.3,5.7,sbs_before,7/18/18,G,Down,San Rafael
09:43:14,23.14,46.2,44.55,30.03,30,20.5,5.7,sbs_before,7/18/18,G,Down,San Rafael
09:43:15,23.14,46.2,44.55,30.03,30,20.5,5.8,sbs_before,7/18/18,G,Down,San Rafael
09:43:16,23.14,46.2,44.56,30.03,30,20.6,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:17,23.14,46.2,44.56,30.03,30,20.6,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:18,23.14,46.2,44.56,30.03,30,20.6,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:19,23.14,46.2,44.56,30.03,30,20.7,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:20,23.14,46.2,44.56,30.03,30,20.7,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:21,23.14,46.2,44.56,30.03,30,20.7,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:22,23.14,46.2,44.56,30.03,30,20.8,5.4,sbs_before,7/18/18,G,Down,San Rafael
09:43:23,23.14,46.2,44.56,30.03,30,20.8,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:24,23.14,46.2,44.56,30.03,30,20.9,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:25,23.14,46.2,44.56,30.03,30,20.9,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:26,23.14,46.2,44.56,30.03,30,21,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:27,23.14,46.2,44.56,30.03,30,21.1,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:28,23.14,46.2,44.56,30.03,30,21.1,5.1,sbs_before,7/18/18,G,Down,San Rafael
09:43:29,23.14,46.2,44.56,30.03,30,21.1,5,sbs_before,7/18/18,G,Down,San Rafael
09:43:30,23.14,46.2,44.56,30.03,30,21.1,5.1,sbs_before,7/18/18,G,Down,San Rafael
09:43:31,23.14,46.2,44.56,30.03,30,21.1,5.1,sbs_before,7/18/18,G,Down,San Rafael
09:43:32,23.14,46.2,44.56,30.03,30,21.3,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:33,23.14,46.2,44.56,30.03,30,21.3,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:34,23.14,46.2,44.56,30.03,30,21.4,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:35,23.14,46.2,44.56,30.03,30,21.4,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:36,23.14,46.2,44.56,30.03,30,21.4,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:37,23.14,46.2,44.56,30.03,30,21.5,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:38,23.14,46.2,44.56,30.03,30,21.5,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:39,23.14,46.2,44.56,30.03,30,21.6,5.2,sbs_before,7/18/18,G,Down,San Rafael
09:43:40,23.14,46.2,44.56,30.03,30,21.6,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:41,23.14,46.2,44.56,30.03,30,21.6,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:42,23.14,46.2,44.56,30.03,30,21.6,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:43,23.15,46.2,44.56,30.03,30,21.7,5.4,sbs_before,7/18/18,G,Down,San Rafael
09:43:44,23.15,46.2,44.56,30.03,30,21.7,5.3,sbs_before,7/18/18,G,Down,San Rafael
09:43:45,23.15,46.2,44.56,30.03,30,21.6,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:46,23.15,46.2,44.56,30.03,30,21.6,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:47,23.15,46.2,44.56,30.03,30,21.7,5.6,sbs_before,7/18/18,G,Down,San Rafael
09:43:48,23.15,46.2,44.56,30.03,30,21.7,5.5,sbs_before,7/18/18,G,Down,San Rafael
09:43:49,23.15,46.2,44.56,30.03,30,21.7,5.1,sbs_before,7/18/18,G,Down,San Rafael
09:43:50,23.15,46.2,44.56,30.03,30,21.7,5.1,sbs_before,7/18/18,G,Down,San Rafael
09:43:51,23.15,46.2,44.56,30.03,30,21.7,5.4,sbs_before,7/18/18,G,Down,San Rafael
