Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site,Chl_ug_L_Corrected
07:31:00,16.8,55.09,46.46,35.81,36.55,13.5,3.5,sbs_before,5/18/19,G,Down,Morro Bay,3.5
07:31:01,16.8,55.09,46.46,35.81,36.55,13.5,3.7,sbs_before,5/18/19,G,Down,Morro Bay,3.7
07:31:02,16.8,55.09,46.46,35.81,36.55,13.4,3.6,sbs_before,5/18/19,G,Down,Morro Bay,3.6
07:31:04,16.8,55.09,46.46,35.81,36.55,13.4,3.7,sbs_before,5/18/19,G,Down,Morro Bay,3.7
07:31:05,16.8,55.09,46.46,35.81,36.55,13.4,3.3,sbs_before,5/18/19,G,Down,Morro Bay,3.3
07:31:06,16.8,55.09,46.46,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:07,16.8,55.09,46.46,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:08,16.8,55.09,46.46,35.81,36.56,13.4,3.5,sbs_before,5/18/19,G,Down,Morro Bay,3.5
07:31:09,16.8,55.09,46.46,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:10,16.8,55.09,46.46,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:12,16.8,55.09,46.46,35.81,36.56,13.4,3.2,sbs_before,5/18/19,G,Down,Morro Bay,3.2
07:31:13,16.8,55.09,46.47,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:14,16.8,55.09,46.47,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:15,16.8,55.09,46.47,35.81,36.56,13.4,3.5,sbs_before,5/18/19,G,Down,Morro Bay,3.5
07:31:16,16.8,55.09,46.47,35.81,36.56,13.4,3.6,sbs_before,5/18/19,G,Down,Morro Bay,3.6
07:31:17,16.81,55.09,46.47,35.81,36.56,13.3,3.3,sbs_before,5/18/19,G,Down,Morro Bay,3.3
07:31:18,16.81,55.09,46.47,35.81,36.56,13.3,3.2,sbs_before,5/18/19,G,Down,Morro Bay,3.2
07:31:20,16.81,55.09,46.47,35.81,36.56,13.4,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:21,16.81,55.09,46.47,35.81,36.56,13.3,3.4,sbs_before,5/18/19,G,Down,Morro Bay,3.4
07:31:22,16.81,55.09,46.47,35.81,36.56,13.3,3.3,sbs_before,5/18/19,G,Down,Morro Bay,3.3
07:31:23,16.81,55.09,46.47,35.81,36.56,13.3,3.3,sbs_before,5/18/19,G,Down,Morro Bay,3.3
07:31:24,16.81,55.09,46.47,35.81,36.56,13.3,3.3,sbs_before,5/18/19,G,Down,Morro Bay,3.3
07:31:25,16.81,55.09,46.47,35.81,36.56,13.3,3.1,sbs_before,5/18/19,G,Down,Morro Bay,3.1
07:31:26,16.81,55.09,46.48,35.81,36.56,13.3,3.1,sbs_before,5/18/19,G,Down,Morro Bay,3.1
07:31:28,16.81,55.09,46.48,35.81,36.56,13.3,3,sbs_before,5/18/19,G,Down,Morro Bay,3
