Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
08:11:00,17.67,53.75,46.23,34.94,35.57,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:01,17.67,53.75,46.23,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:02,17.67,53.75,46.23,34.94,35.57,6.8,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:03,17.67,53.75,46.23,34.94,35.57,6.8,4.5,sbs_before,7/27/18,H,Down,Morro Bay
08:11:04,17.68,53.75,46.23,34.94,35.57,6.8,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:05,17.68,53.75,46.23,34.94,35.57,6.8,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:06,17.68,53.75,46.23,34.94,35.57,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:07,17.68,53.75,46.24,34.94,35.57,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:08,17.68,53.75,46.24,34.94,35.57,6.8,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:09,17.68,53.75,46.24,34.94,35.57,6.8,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:10,17.68,53.76,46.24,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:11,17.68,53.75,46.24,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:12,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:13,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:14,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:15,17.67,53.76,46.24,34.94,35.58,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:16,17.67,53.76,46.24,34.94,35.58,6.8,4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:17,17.67,53.76,46.24,34.94,35.58,6.8,4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:18,17.67,53.76,46.23,34.94,35.58,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:19,17.67,53.76,46.23,34.94,35.58,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:20,17.67,53.76,46.23,34.94,35.58,6.8,3.9,sbs_before,7/27/18,H,Down,Morro Bay
08:11:21,17.67,53.76,46.23,34.94,35.58,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:22,17.67,53.76,46.23,34.94,35.58,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:23,17.67,53.75,46.23,34.94,35.57,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:24,17.67,53.75,46.23,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:25,17.67,53.75,46.23,34.94,35.57,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:26,17.67,53.76,46.23,34.94,35.57,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:27,17.67,53.75,46.23,34.94,35.57,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:28,17.67,53.75,46.23,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:29,17.67,53.75,46.23,34.94,35.57,6.7,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:30,17.67,53.75,46.23,34.94,35.57,6.7,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:31,17.67,53.75,46.23,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:32,17.67,53.75,46.23,34.94,35.57,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:33,17.67,53.75,46.23,34.94,35.57,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:34,17.67,53.75,46.23,34.94,35.57,6.7,4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:35,17.67,53.75,46.23,34.94,35.57,6.7,4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:36,17.68,53.75,46.23,34.94,35.57,6.7,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:37,17.68,53.75,46.23,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:38,17.68,53.75,46.23,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:39,17.68,53.75,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:40,17.68,53.75,46.24,34.94,35.57,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:41,17.68,53.75,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:42,17.68,53.76,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:43,17.68,53.76,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:44,17.68,53.76,46.24,34.94,35.57,6.7,4.5,sbs_before,7/27/18,H,Down,Morro Bay
08:11:45,17.68,53.76,46.24,34.94,35.57,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:46,17.68,53.76,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:47,17.68,53.76,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:48,17.68,53.76,46.24,34.94,35.57,6.7,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:11:49,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:50,17.68,53.76,46.24,34.94,35.57,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:51,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:52,17.68,53.76,46.24,34.94,35.58,6.7,4.5,sbs_before,7/27/18,H,Down,Morro Bay
08:11:53,17.68,53.76,46.24,34.94,35.58,6.7,4.5,sbs_before,7/27/18,H,Down,Morro Bay
08:11:54,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:11:55,17.68,53.76,46.24,34.94,35.57,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:56,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:57,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:11:58,17.68,53.76,46.24,34.94,35.58,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:11:59,17.68,53.76,46.24,34.94,35.58,6.8,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:12:00,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:01,17.68,53.76,46.24,34.94,35.58,6.8,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:02,17.68,53.76,46.24,34.94,35.58,6.8,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:12:03,17.68,53.76,46.24,34.94,35.58,6.7,4.2,sbs_before,7/27/18,H,Down,Morro Bay
08:12:04,17.68,53.76,46.24,34.94,35.58,6.7,4.1,sbs_before,7/27/18,H,Down,Morro Bay
08:12:05,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:06,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:07,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:08,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:09,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:10,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:11,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:12,17.68,53.76,46.24,34.94,35.58,6.7,4.6,sbs_before,7/27/18,H,Down,Morro Bay
08:12:13,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:14,17.68,53.76,46.24,34.94,35.58,6.7,4.3,sbs_before,7/27/18,H,Down,Morro Bay
08:12:15,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:16,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:17,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:18,17.68,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:19,17.67,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:20,17.67,53.76,46.24,34.94,35.58,6.7,4.4,sbs_before,7/27/18,H,Down,Morro Bay
08:12:21,17.67,53.76,46.24,34.94,35.58,6.7,4.5,sbs_before,7/27/18,H,Down,Morro Bay
08:12:22,17.68,53.76,46.24,34.94,35.58,6.7,4.6,sbs_before,7/27/18,H,Down,Morro Bay
