Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
10:45:45,19.83,54.02,48.68,35.11,35.78,5.3,4.5,sbs_before,6/8/19,G,Up,Shellmaker
10:45:46,19.83,54.02,48.69,35.11,35.78,5.3,4.3,sbs_before,6/8/19,G,Up,Shellmaker
10:45:48,19.83,54.02,48.69,35.12,35.78,5.2,4.1,sbs_before,6/8/19,G,Up,Shellmaker
10:45:49,19.83,54.02,48.69,35.11,35.78,5.2,3.9,sbs_before,6/8/19,G,Up,Shellmaker
10:45:50,19.83,54.02,48.69,35.11,35.78,5.1,3.8,sbs_before,6/8/19,G,Up,Shellmaker
10:45:51,19.83,54.02,48.69,35.11,35.78,5.1,3.8,sbs_before,6/8/19,G,Up,Shellmaker
10:45:52,19.83,54.02,48.69,35.11,35.78,5.1,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:45:53,19.83,54.03,48.69,35.12,35.78,5,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:45:54,19.83,54.03,48.69,35.12,35.78,5,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:45:56,19.82,54.03,48.69,35.12,35.78,5,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:45:57,19.82,54.03,48.69,35.12,35.78,4.9,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:45:58,19.83,54.03,48.69,35.12,35.78,4.8,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:45:59,19.83,54.03,48.69,35.12,35.78,4.8,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:46:00,19.83,54.02,48.69,35.12,35.78,4.8,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:46:01,19.83,54.02,48.69,35.12,35.78,4.8,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:46:02,19.83,54.02,48.69,35.12,35.78,4.8,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:04,19.83,54.02,48.69,35.12,35.78,4.7,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:05,19.83,54.02,48.69,35.12,35.78,4.7,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:46:06,19.83,54.02,48.69,35.12,35.78,4.7,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:07,19.83,54.02,48.69,35.12,35.78,4.7,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:08,19.83,54.02,48.69,35.12,35.78,4.7,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:09,19.83,54.03,48.69,35.12,35.78,4.6,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:46:10,19.83,54.02,48.69,35.12,35.78,4.7,3.5,sbs_before,6/8/19,G,Up,Shellmaker
10:46:12,19.83,54.02,48.69,35.11,35.78,4.6,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:13,19.84,54.02,48.69,35.11,35.78,4.6,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:14,19.84,54.01,48.69,35.11,35.77,4.6,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:15,19.84,54.01,48.69,35.11,35.77,4.6,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:16,19.84,54.01,48.69,35.11,35.77,4.6,3.2,sbs_before,6/8/19,G,Up,Shellmaker
10:46:17,19.84,54.01,48.69,35.11,35.77,4.5,3.2,sbs_before,6/8/19,G,Up,Shellmaker
10:46:18,19.84,54.01,48.69,35.11,35.77,4.5,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:20,19.85,54.01,48.69,35.11,35.77,4.5,3.2,sbs_before,6/8/19,G,Up,Shellmaker
10:46:21,19.85,54.01,48.69,35.11,35.77,4.5,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:22,19.85,54.01,48.7,35.11,35.77,4.5,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:23,19.85,54.01,48.7,35.11,35.77,4.4,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:24,19.85,54.01,48.7,35.11,35.77,4.4,3.1,sbs_before,6/8/19,G,Up,Shellmaker
10:46:25,19.85,54.01,48.7,35.1,35.77,4.4,3.2,sbs_before,6/8/19,G,Up,Shellmaker
10:46:26,19.85,54.01,48.7,35.1,35.77,4.4,3.3,sbs_before,6/8/19,G,Up,Shellmaker
10:46:28,19.85,54.01,48.7,35.11,35.77,4.4,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:46:29,19.85,54.01,48.7,35.11,35.77,4.3,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:46:30,19.85,54.01,48.7,35.11,35.77,4.3,3.8,sbs_before,6/8/19,G,Up,Shellmaker
10:46:31,19.85,54.01,48.7,35.11,35.77,4.3,3.8,sbs_before,6/8/19,G,Up,Shellmaker
10:46:32,19.85,54.01,48.7,35.11,35.77,4.3,3.8,sbs_before,6/8/19,G,Up,Shellmaker
10:46:33,19.85,54.02,48.7,35.11,35.78,4.3,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:46:34,19.85,54.02,48.7,35.11,35.78,4.3,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:46:36,19.85,54.02,48.7,35.11,35.78,4.3,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:46:37,19.84,54.02,48.7,35.12,35.78,4.3,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:46:38,19.84,54.03,48.71,35.12,35.78,4.3,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:46:39,19.84,54.03,48.71,35.12,35.78,4.3,3.6,sbs_before,6/8/19,G,Up,Shellmaker
10:46:40,19.84,54.03,48.71,35.12,35.79,4.3,3.7,sbs_before,6/8/19,G,Up,Shellmaker
10:46:41,19.84,54.03,48.71,35.12,35.79,4.3,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:42,19.84,54.03,48.71,35.12,35.79,4.3,3.4,sbs_before,6/8/19,G,Up,Shellmaker
10:46:44,19.84,54.03,48.71,35.12,35.79,4.2,3.6,sbs_before,6/8/19,G,Up,Shellmaker
