Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site,Chl_ug_L_Corrected
8:05:00,18.36,46.22,40.36,30.05,30.06,36.2,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:01,18.36,46.22,40.36,30.05,30.06,36.1,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:02,18.36,46.22,40.36,30.04,30.05,36.3,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:03,18.36,46.22,40.36,30.04,30.05,36.4,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:04,18.37,46.22,40.37,30.04,30.05,36.4,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:05,18.37,46.22,40.37,30.05,30.06,36.4,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:06,18.37,46.22,40.37,30.05,30.06,36.3,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:08,18.37,46.22,40.37,30.05,30.06,36.4,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:09,18.37,46.22,40.37,30.05,30.06,36.4,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:10,18.37,46.23,40.38,30.05,30.06,36.5,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:11,18.37,46.23,40.38,30.05,30.06,36.5,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:12,18.37,46.23,40.38,30.05,30.06,36.5,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:13,18.37,46.23,40.38,30.05,30.06,36.5,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:14,18.37,46.23,40.38,30.05,30.06,36.5,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:16,18.37,46.23,40.37,30.05,30.06,36.4,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:05:17,18.37,46.23,40.37,30.05,30.06,36.2,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:18,18.37,46.23,40.37,30.05,30.06,36.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:05:19,18.36,46.23,40.37,30.05,30.06,36.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:05:20,18.36,46.23,40.37,30.05,30.06,36.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:05:21,18.36,46.23,40.37,30.05,30.06,36.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:05:22,18.36,46.23,40.37,30.05,30.06,36.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:05:24,18.36,46.23,40.37,30.05,30.06,36.1,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:25,18.36,46.23,40.37,30.05,30.06,36.1,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:26,18.36,46.23,40.37,30.05,30.06,36,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:27,18.36,46.23,40.37,30.05,30.06,36,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:28,18.36,46.23,40.37,30.05,30.06,36.1,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:29,18.36,46.23,40.37,30.05,30.06,36.1,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:30,18.36,46.23,40.37,30.05,30.06,36.1,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:32,18.35,46.23,40.36,30.05,30.06,35.9,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:33,18.35,46.24,40.36,30.05,30.06,35.9,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:34,18.35,46.24,40.37,30.05,30.07,35.8,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:35,18.35,46.24,40.37,30.05,30.07,35.8,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:36,18.35,46.24,40.37,30.05,30.07,35.7,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:37,18.35,46.24,40.37,30.05,30.07,35.6,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:38,18.35,46.24,40.37,30.05,30.07,35.5,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:40,18.36,46.24,40.37,30.05,30.07,35.6,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:41,18.36,46.24,40.37,30.05,30.06,35.7,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:42,18.36,46.24,40.38,30.05,30.06,35.6,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:43,18.37,46.23,40.38,30.05,30.06,35.5,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:44,18.37,46.23,40.38,30.05,30.06,35.5,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:45,18.38,46.23,40.38,30.05,30.06,35.5,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:05:46,18.38,46.23,40.38,30.05,30.06,35.5,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:05:48,18.38,46.23,40.38,30.05,30.06,35.4,5.8,sbs_before,9/10/18,H,Down,San Rafael,5.8
8:05:49,18.39,46.23,40.39,30.05,30.06,35.4,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:05:50,18.39,46.23,40.39,30.05,30.06,35.4,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:51,18.39,46.23,40.39,30.05,30.06,35.4,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:05:52,18.39,46.23,40.39,30.05,30.06,35.4,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:05:53,18.39,46.23,40.39,30.05,30.06,35.4,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:54,18.38,46.23,40.39,30.05,30.06,35.4,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:05:56,18.38,46.23,40.39,30.05,30.06,35.4,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:57,18.38,46.22,40.38,30.05,30.06,35.4,6.2,sbs_before,9/10/18,H,Down,San Rafael,6.2
8:05:58,18.38,46.22,40.38,30.05,30.06,35.3,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:05:59,18.38,46.22,40.38,30.05,30.06,35.2,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:06:00,18.38,46.23,40.38,30.05,30.06,35.2,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:06:01,18.37,46.23,40.38,30.05,30.06,35.2,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:06:02,18.37,46.23,40.38,30.05,30.06,35.2,6.6,sbs_before,9/10/18,H,Down,San Rafael,6.6
8:06:04,18.37,46.23,40.38,30.05,30.06,35.1,6.6,sbs_before,9/10/18,H,Down,San Rafael,6.6
8:06:05,18.37,46.23,40.38,30.05,30.06,35,6.5,sbs_before,9/10/18,H,Down,San Rafael,6.5
8:06:06,18.37,46.24,40.38,30.05,30.06,34.9,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:06:07,18.37,46.24,40.38,30.05,30.07,34.9,6.4,sbs_before,9/10/18,H,Down,San Rafael,6.4
8:06:08,18.36,46.24,40.38,30.06,30.07,34.9,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:06:09,18.36,46.24,40.38,30.06,30.07,34.7,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:06:10,18.36,46.24,40.38,30.06,30.07,34.7,6.3,sbs_before,9/10/18,H,Down,San Rafael,6.3
8:06:12,18.36,46.24,40.38,30.06,30.07,34.7,6.1,sbs_before,9/10/18,H,Down,San Rafael,6.1
8:06:13,18.36,46.24,40.38,30.06,30.07,34.6,6,sbs_before,9/10/18,H,Down,San Rafael,6
8:06:14,18.36,46.24,40.38,30.06,30.07,34.6,5.9,sbs_before,9/10/18,H,Down,San Rafael,5.9
8:06:15,18.36,46.24,40.38,30.06,30.07,34.6,5.8,sbs_before,9/10/18,H,Down,San Rafael,5.8
