File_Name,Experiment,Date,Site,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
Insitu_Filter_MB_2018_7_27.csv,Filtration,7/27/18,Morro Bay,17.656,54.242,46.634,35.258,35.936,7.925,4.567,17.623,53.792,46.212,34.966,35.6,6.857,3.665,47.5,26,108,19.536,385.453
Insitu_Filter_MB_2018_7_28.csv,Filtration,7/28/18,Morro Bay,17.449,54.235,46.413,35.253,35.928,7.459,3.217,17.469,53.814,46.073,34.979,35.615,5.991,2.524,29.5,27,108,21.051,248.399
Insitu_Filter_MB_2019_5_18.csv,Filtration,5/18/19,Morro Bay,16.292,56.554,47.147,36.76,37.638,17.671,3.292,16.256,55.789,46.471,36.263,37.066,12.829,2.724,42.5,30.5,288,15.503,622.163
Insitu_Filter_MB_2019_5_19.csv,Filtration,5/19/19,Morro Bay,15.93,54.869,45.363,35.665,36.375,10.947,1.823,16.024,55.672,46.127,36.186,36.973,14.557,2.882,45,30.5,72,-64.635,-686.614
Insitu_Filter_MB_2019_6_6.csv,Neg Control 1,6/6/19,Morro Bay,17.282,57.133,48.711,37.137,38.091,11.956,2.676,17.315,56.389,48.112,36.65,37.531,9.772,1.52,32.5,20.5,180,42.17,1203.399
Insitu_Filter_NPD_2018_10_25.csv,Filtration,10/25/18,Deanza,21.086,51.311,47.475,33.352,33.771,4.741,2.377,21.128,47.73,44.196,31.024,31.303,4.154,4.243,17.5,19.2,216,-80.733,-1589.426
Insitu_Filter_NPD_2018_10_26.csv,Filtration,10/26/18,Deanza,20.962,54.905,50.67,35.688,36.434,2.37,4.639,21.094,52.168,48.276,33.909,34.398,3.598,2.653,19,19.2,288,42.626,1214.847
Insitu_Filter_NPD_2019_4_15.csv,Filtration,4/15/19,Deanza,19.435,54.8,48.975,35.621,36.361,3.404,1.126,19.605,55.456,49.741,36.047,36.85,4.071,1.42,23,16.4,252,-30.96,-1094.185
Insitu_Filter_NPD_2019_4_17.csv,Filtration,4/17/19,Deanza,19.407,56.234,50.227,36.552,37.432,4.929,0.19,19.548,55.692,49.893,36.2,37.026,7.205,1.056,0.17,16.4,396,60.171,24.699
Insitu_Filter_NPD_2019_5_10.csv,Filtration,5/10/19,Deanza,19.247,56.255,50.074,36.566,37.448,2.918,4.324,19.223,55.546,49.417,36.105,36.917,2.618,3.491,31.25,14.8,324,18.767,1283.889
