Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
08:42:00,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.4,H,17.5,53.82,46.11,34.98,35.62,6.4,2.5,29.5,27,108,26.4705882352941,312.352941176471
08:42:01,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.6,29.5,27,108,18.75,221.25
08:42:02,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.7,29.5,27,108,15.625,184.375
08:42:03,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.6,29.5,27,108,18.75,221.25
08:42:04,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.5,29.5,27,108,21.875,258.125
08:42:05,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.5,29.5,27,108,16.6666666666667,196.666666666667
08:42:06,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.5,29.5,27,108,16.6666666666667,196.666666666667
08:42:07,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.82,46.11,34.98,35.62,6.5,2.4,29.5,27,108,22.5806451612903,266.451612903226
08:42:08,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,23.3333333333333,275.333333333333
08:42:09,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.5,2.2,29.5,27,108,29.0322580645161,342.58064516129
08:42:10,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.4,2.2,29.5,27,108,29.0322580645161,342.58064516129
08:42:11,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,23.3333333333333,275.333333333333
08:42:12,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.4,2.4,29.5,27,108,22.5806451612903,266.451612903226
08:42:13,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.23,35.91,7.4,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.5,29.5,27,108,16.6666666666667,196.666666666667
08:42:14,7/28/18,Morro Bay,Filtration,G,17.48,54.21,46.42,35.24,35.91,7.4,2.9,H,17.5,53.82,46.11,34.98,35.62,6.4,2.4,29.5,27,108,17.2413793103448,203.448275862069
08:42:15,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.5,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,28.125,331.875
08:42:16,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.5,3,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,23.3333333333333,275.333333333333
08:42:17,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.5,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,28.125,331.875
08:42:18,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.5,3.2,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,28.125,331.875
08:42:19,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.5,3.1,H,17.5,53.82,46.11,34.98,35.62,6.4,2.3,29.5,27,108,25.8064516129032,304.516129032258
08:42:20,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.4,2.4,29.5,27,108,22.5806451612903,266.451612903226
08:42:21,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.4,3,H,17.5,53.82,46.11,34.98,35.62,6.3,2.4,29.5,27,108,20,236
08:42:22,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.3,2.5,29.5,27,108,19.3548387096774,228.387096774194
08:42:23,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.3,2.6,29.5,27,108,13.3333333333333,157.333333333333
08:42:24,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.4,3.1,H,17.5,53.82,46.11,34.98,35.62,6.2,2.6,29.5,27,108,16.1290322580645,190.322580645161
08:42:25,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.82,46.11,34.98,35.62,6.2,2.5,29.5,27,108,19.3548387096774,228.387096774194
08:42:26,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.82,46.11,34.98,35.62,6.2,2.6,29.5,27,108,16.1290322580645,190.322580645161
08:42:27,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.2,2.6,29.5,27,108,13.3333333333333,157.333333333333
08:42:28,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.2,2.5,29.5,27,108,16.6666666666667,196.666666666667
08:42:29,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.2,2.4,29.5,27,108,20,236
08:42:30,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,2.9,H,17.5,53.82,46.11,34.98,35.62,6.2,2.4,29.5,27,108,17.2413793103448,203.448275862069
08:42:31,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.1,2.1,29.5,27,108,30,354
08:42:32,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.82,46.11,34.98,35.62,6.1,2.2,29.5,27,108,29.0322580645161,342.58064516129
08:42:33,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.82,46.11,34.98,35.62,6.1,2.1,29.5,27,108,30,354
08:42:34,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,2.9,H,17.5,53.81,46.11,34.98,35.62,6.2,2.3,29.5,27,108,20.6896551724138,244.137931034483
08:42:35,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,2.9,H,17.5,53.81,46.11,34.98,35.62,6.1,2.4,29.5,27,108,17.2413793103448,203.448275862069
08:42:36,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.81,46.11,34.98,35.62,6.2,2.2,29.5,27,108,29.0322580645161,342.58064516129
08:42:37,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.1,H,17.5,53.81,46.11,34.98,35.62,6.1,2.1,29.5,27,108,32.258064516129,380.645161290323
08:42:38,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3,H,17.5,53.81,46.11,34.98,35.62,6.1,2.2,29.5,27,108,26.6666666666667,314.666666666667
08:42:39,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.4,H,17.5,53.81,46.11,34.98,35.62,6.1,2.4,29.5,27,108,29.4117647058824,347.058823529412
08:42:40,7/28/18,Morro Bay,Filtration,G,17.47,54.21,46.42,35.24,35.91,7.3,3.4,H,17.5,53.81,46.11,34.98,35.62,6.1,2.5,29.5,27,108,26.4705882352941,312.352941176471
