Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
07:07:30,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.7,H,18.83,55.84,49.26,36.3,37.14,2.9,4.4,35,15,360,-18.9189189189189,-1589.18918918919
07:07:31,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,4.2,35,15,360,-7.6923076923077,-646.153846153847
07:07:32,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,4.2,35,15,360,-7.6923076923077,-646.153846153847
07:07:34,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,4.1,35,15,360,-5.12820512820512,-430.76923076923
07:07:35,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,3.8,35,15,360,2.56410256410257,215.384615384616
07:07:36,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,3.9,35,15,360,0,0
07:07:37,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4.1,H,18.83,55.84,49.26,36.3,37.14,2.9,4,35,15,360,2.43902439024389,204.878048780487
07:07:38,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4,H,18.83,55.84,49.26,36.3,37.14,2.9,3.9,35,15,360,2.5,210
07:07:39,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4,H,18.83,55.84,49.26,36.3,37.14,2.9,4,35,15,360,0,0
07:07:40,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4,H,18.83,55.84,49.26,36.3,37.14,2.9,4,35,15,360,0,0
07:07:42,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,4.1,35,15,360,-5.12820512820512,-430.76923076923
07:07:43,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4,H,18.83,55.84,49.26,36.3,37.14,2.9,4.1,35,15,360,-2.49999999999999,-209.999999999999
07:07:44,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,4.1,35,15,360,-5.12820512820512,-430.76923076923
07:07:45,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.3,37.14,2.9,3.9,35,15,360,0,0
07:07:46,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.29,37.13,2.9,3.7,35,15,360,5.12820512820512,430.76923076923
07:07:47,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.5,H,18.83,55.84,49.26,36.29,37.13,2.9,3.9,35,15,360,-11.4285714285714,-960
07:07:48,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.7,H,18.83,55.84,49.26,36.29,37.13,2.9,3.7,35,15,360,0,0
07:07:50,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.8,H,18.83,55.84,49.26,36.29,37.13,2.9,3.5,35,15,360,7.89473684210526,663.157894736842
07:07:51,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,4,H,18.83,55.84,49.26,36.3,37.14,2.9,3.4,35,15,360,15,1260
07:07:52,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.8,H,18.83,55.84,49.26,36.29,37.13,2.9,3.7,35,15,360,2.63157894736841,221.052631578947
07:07:53,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.6,H,18.83,55.84,49.26,36.29,37.13,2.9,3.7,35,15,360,-2.77777777777778,-233.333333333334
07:07:54,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.7,H,18.83,55.84,49.26,36.29,37.13,2.9,3.5,35,15,360,5.40540540540541,454.054054054054
07:07:55,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.8,H,18.83,55.84,49.26,36.29,37.13,3,3.3,35,15,360,13.1578947368421,1105.26315789474
07:07:56,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.29,37.13,3,3.4,35,15,360,12.8205128205128,1076.92307692308
07:07:58,5/11/19,Deanza,Filtration,G,18.82,55,48.51,35.75,36.51,2.5,3.9,H,18.83,55.84,49.26,36.29,37.13,3.1,3.3,35,15,360,15.3846153846154,1292.30769230769
