Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
03:27:00,5/21/19,Deanza,Filtration,H,18.91,51.88,45.84,33.72,34.19,3.5,6.19914602059284,G,18.89,51.16,45.19,33.25,33.66,3.1,7.50085397940716,24,16,288,-20.9981819187706,-907.121458890891
03:27:01,5/21/19,Deanza,Filtration,H,18.91,51.88,45.84,33.72,34.19,3.5,6.29914602059284,G,18.88,51.16,45.19,33.26,33.66,3.1,7.30085397940716,24,16,288,-15.9022819210665,-686.978578990072
03:27:02,5/21/19,Deanza,Filtration,H,18.91,51.88,45.84,33.72,34.19,3.5,6.29914602059284,G,18.88,51.16,45.19,33.26,33.66,3.1,7.30085397940716,24,16,288,-15.9022819210665,-686.978578990072
03:27:04,5/21/19,Deanza,Filtration,H,18.91,51.88,45.84,33.72,34.19,3.5,6.19914602059284,G,18.88,51.16,45.18,33.26,33.66,3.1,7.50085397940716,24,16,288,-20.9981819187706,-907.121458890891
03:27:05,5/21/19,Deanza,Filtration,H,18.91,51.88,45.84,33.72,34.19,3.5,6.09914602059284,G,18.88,51.16,45.18,33.26,33.66,3.1,7.30085397940716,24,16,288,-19.7028888102847,-851.164796604301
03:27:06,5/21/19,Deanza,Filtration,H,18.9,51.88,45.84,33.72,34.19,3.5,6.09914602059284,G,18.88,51.16,45.18,33.26,33.67,3.1,7.20085397940716,24,16,288,-18.0633150131931,-780.33520856994
03:27:08,5/21/19,Deanza,Filtration,H,18.9,51.88,45.84,33.72,34.19,3.5,5.89914602059284,G,18.88,51.17,45.18,33.26,33.67,3.1,7.10085397940716,24,16,288,-20.3708800327941,-880.022017416704
03:27:09,5/21/19,Deanza,Filtration,H,18.9,51.88,45.84,33.72,34.19,3.4,6.09914602059284,G,18.88,51.17,45.18,33.26,33.67,3,7.00085397940716,24,16,288,-14.7841674190097,-638.67603250122
03:27:10,5/21/19,Deanza,Filtration,H,18.9,51.88,45.84,33.72,34.19,3.4,6.19914602059284,G,18.88,51.17,45.18,33.26,33.67,3.1,6.90085397940716,24,16,288,-11.3194294259777,-488.999351202238
03:27:12,5/21/19,Deanza,Filtration,H,18.9,51.88,45.84,33.72,34.19,3.4,6.29914602059284,G,18.88,51.17,45.18,33.26,33.67,3.1,6.90085397940716,24,16,288,-9.552214805741,-412.655679608011
03:27:13,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.39914602059284,G,18.88,51.17,45.18,33.26,33.67,3.1,6.90085397940716,24,16,288,-7.84023301233926,-338.698066133056
03:27:14,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.29914602059284,G,18.88,51.17,45.18,33.26,33.67,3,6.70085397940716,24,16,288,-6.37718124807827,-275.494229916981
03:27:16,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,3.1,6.50085397940716,24,16,288,-1.58939893678019,-68.6620340689041
03:27:17,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.49914602059284,G,18.87,51.17,45.18,33.26,33.67,3.1,6.60085397940716,24,16,288,-1.56494343244556,-67.605556281648
03:27:18,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,3,6.60085397940716,24,16,288,-3.15210745566995,-136.171042084942
03:27:20,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.2,3.4,6.59914602059284,G,18.87,51.17,45.18,33.26,33.67,3,6.50085397940716,24,16,288,1.48946607453392,64.3449344198655
03:27:21,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.2,3.4,6.59914602059284,G,18.87,51.17,45.18,33.26,33.67,3,6.60085397940716,24,16,288,-0.0258815126833701,-1.11808134792159
03:27:22,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.49914602059284,G,18.87,51.17,45.18,33.26,33.67,3,6.60085397940716,24,16,288,-1.56494343244556,-67.605556281648
03:27:24,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-3.15210745566995,-136.171042084942
03:27:25,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.4,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-3.15210745566995,-136.171042084942
03:27:26,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.5,6.19914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-6.4800531795813,-279.938297357912
03:27:28,5/21/19,Deanza,Filtration,H,18.9,51.88,45.83,33.72,34.19,3.5,6.29914602059284,G,18.87,51.18,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-4.78966446924689,-206.913505071466
03:27:29,5/21/19,Deanza,Filtration,H,18.9,51.87,45.83,33.72,34.19,3.4,5.99914602059284,G,18.87,51.18,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-10.0298935339942,-433.291400668551
03:27:30,5/21/19,Deanza,Filtration,H,18.9,51.87,45.83,33.72,34.19,3.5,6.09914602059284,G,18.87,51.18,45.18,33.27,33.67,2.9,6.50085397940716,24,16,288,-6.58629843355132,-284.528092329417
03:27:32,5/21/19,Deanza,Filtration,H,18.9,51.87,45.83,33.72,34.18,3.4,6.09914602059284,G,18.87,51.18,45.18,33.27,33.67,2.9,6.50085397940716,24,16,288,-6.58629843355132,-284.528092329417
03:27:33,5/21/19,Deanza,Filtration,H,18.91,51.87,45.83,33.71,34.18,3.5,6.09914602059284,G,18.87,51.18,45.18,33.26,33.67,2.9,6.80085397940716,24,16,288,-11.5050198248264,-497.016856432498
03:27:34,5/21/19,Deanza,Filtration,H,18.91,51.87,45.83,33.71,34.18,3.5,5.99914602059284,G,18.87,51.18,45.18,33.26,33.67,2.9,6.90085397940716,24,16,288,-15.0306052848036,-649.322148303517
03:27:36,5/21/19,Deanza,Filtration,H,18.91,51.87,45.83,33.71,34.18,3.5,5.99914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.80085397940716,24,16,288,-13.3637013678672,-577.311899091862
03:27:37,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,5.99914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.90085397940716,24,16,288,-15.0306052848036,-649.322148303517
03:27:38,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.19914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.80085397940716,24,16,288,-9.70630401051226,-419.31233325413
03:27:40,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.49914602059284,G,18.87,51.18,45.18,33.26,33.67,2.9,6.90085397940716,24,16,288,-6.18093450341759,-267.01637054764
03:27:41,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,-3.15210745566995,-136.171042084942
03:27:42,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.59914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.50085397940716,24,16,288,1.48946607453392,64.3449344198655
03:27:44,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.69914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.60085397940716,24,16,288,1.4672324037055,63.3844398400777
03:27:45,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.69914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.70085397940716,24,16,288,-0.0254951722064955,-1.10139143932061
03:27:46,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.70085397940716,24,16,288,-4.71481597455973,-203.68005010098
03:27:48,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.29914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,6.90085397940716,24,16,288,-9.552214805741,-412.655679608011
03:27:49,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.29914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,7.20085397940716,24,16,288,-14.3147651422351,-618.397854144557
03:27:50,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.39914602059284,G,18.87,51.17,45.18,33.26,33.67,2.9,7.10085397940716,24,16,288,-10.9656500501188,-473.716082165132
03:27:52,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.5,6.29914602059284,G,18.88,51.16,45.18,33.26,33.66,2.9,6.70085397940716,24,16,288,-6.37718124807827,-275.494229916981
03:27:53,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.39914602059284,G,18.88,51.16,45.18,33.26,33.66,2.9,6.90085397940716,24,16,288,-7.84023301233926,-338.698066133056
03:27:54,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.29914602059284,G,18.87,51.16,45.18,33.26,33.66,2.9,6.90085397940716,24,16,288,-9.552214805741,-412.655679608011
03:27:56,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.6,6.49914602059284,G,18.87,51.16,45.18,33.26,33.67,2.9,6.80085397940716,24,16,288,-4.64227081309358,-200.546099125643
03:27:57,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.5,6.39914602059284,G,18.88,51.16,45.18,33.26,33.66,2.9,6.50085397940716,24,16,288,-1.58939893678019,-68.6620340689041
03:27:58,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.5,6.29914602059284,G,18.88,51.16,45.18,33.26,33.66,2.9,6.70085397940716,24,16,288,-6.37718124807827,-275.494229916981
03:28:00,5/21/19,Deanza,Filtration,H,18.91,51.86,45.82,33.71,34.18,3.5,6.49914602059284,G,18.88,51.16,45.18,33.25,33.66,2.9,6.60085397940716,24,16,288,-1.56494343244556,-67.605556281648
03:28:01,5/21/19,Deanza,Filtration,H,18.91,51.86,45.82,33.71,34.18,3.5,6.59914602059284,G,18.88,51.16,45.18,33.25,33.66,2.9,6.40085397940716,24,16,288,3.00481366175123,129.807950187653
03:28:02,5/21/19,Deanza,Filtration,H,18.91,51.86,45.82,33.71,34.18,3.5,6.69914602059284,G,18.88,51.16,45.18,33.25,33.66,2.9,6.50085397940716,24,16,288,2.95995997961748,127.870271119475
03:28:04,5/21/19,Deanza,Filtration,H,18.91,51.86,45.83,33.71,34.18,3.5,6.69914602059284,G,18.88,51.16,45.17,33.25,33.66,2.9,7.00085397940716,24,16,288,-4.50367789994246,-194.558885277514
