Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
11:36:30,5/10/19,Shellmaker,Filtration,H,19.78,55.6,50.05,36.14,36.96,4.3,3.7,G,19.75,54.91,49.4,35.69,36.44,3.3,3.2,38.5,13,216,13.5135135135135,864.449064449064
11:36:32,5/10/19,Shellmaker,Filtration,H,19.77,55.6,50.05,36.14,36.96,4.3,3.7,G,19.75,54.91,49.4,35.69,36.44,3.3,3.2,38.5,13,216,13.5135135135135,864.449064449064
11:36:33,5/10/19,Shellmaker,Filtration,H,19.77,55.6,50.05,36.14,36.96,4.2,3.8,G,19.75,54.91,49.4,35.69,36.44,3.2,3.5,38.5,13,216,7.89473684210526,505.020242914979
11:36:34,5/10/19,Shellmaker,Filtration,H,19.77,55.6,50.05,36.14,36.96,4.2,3.7,G,19.75,54.91,49.4,35.69,36.44,3.2,3.5,38.5,13,216,5.40540540540541,345.779625779626
11:36:35,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.2,3.8,G,19.75,54.91,49.4,35.69,36.44,3.2,3.5,38.5,13,216,7.89473684210526,505.020242914979
11:36:36,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.2,3.7,G,19.75,54.91,49.4,35.69,36.44,3.2,3.5,38.5,13,216,5.40540540540541,345.779625779626
11:36:37,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.2,3.8,G,19.75,54.91,49.4,35.69,36.44,3.2,3.4,38.5,13,216,10.5263157894737,673.36032388664
11:36:38,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.2,3.9,G,19.75,54.91,49.4,35.69,36.44,3.3,3.2,38.5,13,216,17.9487179487179,1148.16568047337
11:36:40,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.2,3.8,G,19.75,54.91,49.4,35.69,36.44,3.3,3.3,38.5,13,216,13.1578947368421,841.7004048583
11:36:41,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.05,36.14,36.96,4.3,3.9,G,19.75,54.91,49.4,35.69,36.44,3.2,3.4,38.5,13,216,12.8205128205128,820.118343195266
11:36:42,5/10/19,Shellmaker,Filtration,H,19.77,55.6,50.05,36.14,36.96,4.3,4.2,G,19.75,54.9,49.4,35.69,36.44,3.2,3.5,38.5,13,216,16.6666666666667,1066.15384615385
11:36:43,5/10/19,Shellmaker,Filtration,H,19.77,55.6,50.05,36.14,36.96,4.3,4.2,G,19.75,54.91,49.4,35.69,36.44,3.3,3.6,38.5,13,216,14.2857142857143,913.846153846154
11:36:44,5/10/19,Shellmaker,Filtration,H,19.77,55.61,50.06,36.14,36.96,4.3,4.2,G,19.75,54.91,49.4,35.69,36.44,3.3,3.6,38.5,13,216,14.2857142857143,913.846153846154
