Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
12:34:40,5/11/19,Shellmaker,Filtration,H,22.21,54.79,51.88,35.62,36.34,6.1,2.5495183044316,G,21.18,54.34,50.38,35.32,36.01,3.9,1.9504816955684,32.5,12.2,162,23.4960701330109,1013.99023975658
12:34:41,5/11/19,Shellmaker,Filtration,H,22.19,54.79,51.85,35.61,36.33,6.1,2.5495183044316,G,21.16,54.35,50.36,35.33,36.01,3.9,1.9504816955684,32.5,12.2,162,23.4960701330109,1013.99023975658
12:34:42,5/11/19,Shellmaker,Filtration,H,22.17,54.8,51.84,35.62,36.34,6.1,2.6495183044316,G,21.16,54.35,50.36,35.33,36.02,3.9,1.9504816955684,32.5,12.2,162,26.3835357428551,1138.60094824698
12:34:43,5/11/19,Shellmaker,Filtration,H,22.17,54.81,51.84,35.63,36.35,6.1,2.3495183044316,G,21.15,54.35,50.36,35.33,36.02,3.9,2.0504816955684,32.5,12.2,162,12.7275709365262,549.267712957461
12:34:44,5/11/19,Shellmaker,Filtration,H,22.16,54.81,51.84,35.63,36.35,6.1,2.6495183044316,G,21.14,54.36,50.35,35.33,36.02,3.9,2.0504816955684,32.5,12.2,162,22.6092647807432,975.719500578796
12:34:45,5/11/19,Shellmaker,Filtration,H,22.15,54.79,51.8,35.61,36.33,6.1,2.5495183044316,G,21.14,54.36,50.36,35.33,36.02,3.9,2.1504816955684,32.5,12.2,162,15.6514510278114,675.449915257597
12:34:46,5/11/19,Shellmaker,Filtration,H,22.14,54.78,51.78,35.61,36.33,6.1,2.4495183044316,G,21.14,54.36,50.36,35.34,36.03,3.9,2.0504816955684,32.5,12.2,162,16.2904113899158,703.024721048417
12:34:48,5/11/19,Shellmaker,Filtration,H,22.1,54.77,51.74,35.6,36.32,6.1,2.1495183044316,G,21.15,54.36,50.37,35.34,36.03,3.9,1.7504816955684,32.5,12.2,162,18.5640014342058,801.143176648309
12:34:49,5/11/19,Shellmaker,Filtration,H,22.06,54.76,51.68,35.6,36.32,6.1,2.1495183044316,G,21.16,54.37,50.38,35.34,36.04,3.8,1.8504816955684,32.5,12.2,162,13.9117963427752,600.373833973045
12:34:50,5/11/19,Shellmaker,Filtration,H,22.02,54.77,51.65,35.6,36.32,6.1,2.3495183044316,G,21.16,54.37,50.38,35.34,36.04,3.8,1.6504816955684,32.5,12.2,162,29.7523372150238,1283.98406095984
12:34:51,5/11/19,Shellmaker,Filtration,H,22,54.77,51.64,35.6,36.33,6.1,2.4495183044316,G,21.16,54.37,50.39,35.34,36.04,3.8,1.5504816955684,32.5,12.2,162,36.7025879021474,1583.92725659677
12:34:52,5/11/19,Shellmaker,Filtration,H,21.98,54.78,51.62,35.61,36.33,6.1,2.2495183044316,G,21.19,54.36,50.4,35.33,36.02,3.8,1.5504816955684,32.5,12.2,162,31.0749464668094,1341.062238916
12:34:53,5/11/19,Shellmaker,Filtration,H,21.94,54.78,51.59,35.61,36.33,6.1,2.5495183044316,G,21.19,54.35,50.4,35.33,36.02,3.8,1.7504816955684,32.5,12.2,162,31.3406892382104,1352.53056425556
12:34:54,5/11/19,Shellmaker,Filtration,H,21.93,54.78,51.57,35.61,36.33,6.1,2.4495183044316,G,21.19,54.35,50.4,35.33,36.02,3.8,1.8504816955684,32.5,12.2,162,24.4552819948085,1055.38573526776
12:34:56,5/11/19,Shellmaker,Filtration,H,21.89,54.8,51.54,35.62,36.34,6.1,2.3495183044316,G,21.19,54.35,50.39,35.33,36.01,3.8,1.8504816955684,32.5,12.2,162,21.239954075775,916.625886958649
12:34:57,5/11/19,Shellmaker,Filtration,H,21.84,54.81,51.5,35.63,36.36,6,2.4495183044316,G,21.17,54.35,50.38,35.32,36.01,3.8,1.8504816955684,32.5,12.2,162,24.4552819948085,1055.38573526776
12:34:58,5/11/19,Shellmaker,Filtration,H,21.79,54.83,51.47,35.64,36.37,6,2.4495183044316,G,21.17,54.35,50.37,35.32,36.01,3.8,1.8504816955684,32.5,12.2,162,24.4552819948085,1055.38573526776
12:34:59,5/11/19,Shellmaker,Filtration,H,21.78,54.84,51.47,35.65,36.38,5.9,2.3495183044316,G,21.16,54.35,50.37,35.33,36.02,3.8,1.9504816955684,32.5,12.2,162,16.9837625061506,732.946799958055
12:35:00,5/11/19,Shellmaker,Filtration,H,21.76,54.86,51.46,35.66,36.39,5.9,2.1495183044316,G,21.15,54.36,50.36,35.33,36.02,3.8,1.8504816955684,32.5,12.2,162,13.9117963427752,600.373833973045
12:35:01,5/11/19,Shellmaker,Filtration,H,21.74,54.88,51.46,35.67,36.41,5.9,2.3495183044316,G,21.15,54.36,50.36,35.33,36.02,3.8,1.9504816955684,32.5,12.2,162,16.9837625061506,732.946799958055
12:35:02,5/11/19,Shellmaker,Filtration,H,21.73,54.88,51.46,35.67,36.41,5.9,2.3495183044316,G,21.15,54.36,50.36,35.33,36.02,3.7,1.9504816955684,32.5,12.2,162,16.9837625061506,732.946799958055
12:35:04,5/11/19,Shellmaker,Filtration,H,21.73,54.89,51.46,35.68,36.41,5.9,2.5495183044316,G,21.15,54.36,50.37,35.33,36.03,3.8,1.8504816955684,32.5,12.2,162,27.4183796856106,1183.26040200607
12:35:05,5/11/19,Shellmaker,Filtration,H,21.72,54.88,51.44,35.67,36.41,5.9,2.3495183044316,G,21.16,54.36,50.37,35.33,36.03,3.8,1.8504816955684,32.5,12.2,162,21.239954075775,916.625886958649
12:35:06,5/11/19,Shellmaker,Filtration,H,21.71,54.91,51.45,35.69,36.43,5.9,2.6495183044316,G,21.16,54.36,50.37,35.34,36.03,3.8,1.7504816955684,32.5,12.2,162,33.9320776670788,1464.36384358336
12:35:07,5/11/19,Shellmaker,Filtration,H,21.71,54.91,51.46,35.69,36.43,5.9,2.6495183044316,G,21.16,54.36,50.38,35.34,36.03,3.8,1.7504816955684,32.5,12.2,162,33.9320776670788,1464.36384358336
12:35:08,5/11/19,Shellmaker,Filtration,H,21.72,54.91,51.47,35.69,36.43,5.8,2.5495183044316,G,21.16,54.36,50.37,35.33,36.03,3.8,1.6504816955684,32.5,12.2,162,35.2629987908102,1521.80072650504
12:35:09,5/11/19,Shellmaker,Filtration,H,21.73,54.9,51.48,35.69,36.42,5.8,2.6495183044316,G,21.16,54.36,50.37,35.34,36.03,3.7,1.7504816955684,32.5,12.2,162,33.9320776670788,1464.36384358336
12:35:10,5/11/19,Shellmaker,Filtration,H,21.74,54.9,51.48,35.68,36.42,5.8,2.6495183044316,G,21.15,54.36,50.37,35.34,36.03,3.7,1.6504816955684,32.5,12.2,162,37.7063486291906,1627.24529125155
12:35:12,5/11/19,Shellmaker,Filtration,H,21.74,54.89,51.48,35.68,36.41,5.7,2.7495183044316,G,21.14,54.37,50.37,35.34,36.03,3.8,1.6504816955684,32.5,12.2,162,39.9719691660827,1725.01981688054
12:35:13,5/11/19,Shellmaker,Filtration,H,21.74,54.89,51.47,35.68,36.42,5.7,2.7495183044316,G,21.14,54.38,50.37,35.35,36.04,3.8,1.9504816955684,32.5,12.2,162,29.0609670637701,1254.14747205533
12:35:14,5/11/19,Shellmaker,Filtration,H,21.72,54.9,51.46,35.68,36.42,5.7,2.5495183044316,G,21.14,54.38,50.37,35.35,36.04,3.8,1.8504816955684,32.5,12.2,162,27.4183796856106,1183.26040200607
