Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
11:40:20,10/17/18,San Diego,Filtration,H,21.35,54.79,50.97,35.61,36.34,0,5.3627100299247,G,21.23,57.54,53.4,37.4,38.4,1.4,6.3372899700753,1.15,4,144,-18.1732731158744,-75.2373506997202
11:40:21,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,5.6627100299247,G,21.24,57.54,53.4,37.4,38.4,1.4,6.2372899700753,1.15,4,144,-10.1467307546074,-42.0074653240746
11:40:22,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,5.7627100299247,G,21.24,57.54,53.41,37.4,38.41,1.4,6.1372899700753,1.15,4,144,-6.50006573652816,-26.9102721492266
11:40:23,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,5.8627100299247,G,21.25,57.54,53.42,37.4,38.41,1.4,6.1372899700753,1.15,4,144,-4.68349856549419,-19.389684061146
11:40:24,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,5.7627100299247,G,21.26,57.54,53.42,37.4,38.4,1.4,6.1372899700753,1.15,4,144,-6.50006573652816,-26.9102721492266
11:40:25,10/17/18,San Diego,Filtration,H,21.36,54.78,50.96,35.61,36.33,-0.1,5.6627100299247,G,21.27,57.53,53.43,37.4,38.4,1.5,6.2372899700753,1.15,4,144,-10.1467307546074,-42.0074653240746
11:40:26,10/17/18,San Diego,Filtration,H,21.36,54.78,50.96,35.6,36.33,-0.1,5.5627100299247,G,21.27,57.53,53.43,37.4,38.4,1.5,6.3372899700753,1.15,4,144,-13.924506867763,-57.6474584325389
11:40:27,10/17/18,San Diego,Filtration,H,21.36,54.78,50.97,35.6,36.33,-0.1,5.6627100299247,G,21.27,57.54,53.44,37.4,38.41,1.5,6.1372899700753,1.15,4,144,-8.38079184070313,-34.696478220511
11:40:28,10/17/18,San Diego,Filtration,H,21.36,54.77,50.97,35.6,36.33,-0.1,5.6627100299247,G,21.28,57.54,53.45,37.4,38.41,1.5,6.2372899700753,1.15,4,144,-10.1467307546074,-42.0074653240746
11:40:29,10/17/18,San Diego,Filtration,H,21.36,54.77,50.97,35.6,36.33,-0.1,5.3627100299247,G,21.29,57.53,53.45,37.4,38.4,1.5,6.2372899700753,1.15,4,144,-16.3085442858242,-67.5173733433123
