Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
11:40:20,10/17/18,San Diego,Filtration,H,21.35,54.79,50.97,35.61,36.34,0,4.1,G,21.23,57.54,53.4,37.4,38.4,1.4,7.6,1.15,4,144,-85.3658536585366,-353.414634146342
11:40:21,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,4.4,G,21.24,57.54,53.4,37.4,38.4,1.4,7.5,1.15,4,144,-70.4545454545454,-291.681818181818
11:40:22,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,4.5,G,21.24,57.54,53.41,37.4,38.41,1.4,7.4,1.15,4,144,-64.4444444444445,-266.8
11:40:23,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,4.6,G,21.25,57.54,53.42,37.4,38.41,1.4,7.4,1.15,4,144,-60.8695652173913,-252
11:40:24,10/17/18,San Diego,Filtration,H,21.35,54.78,50.97,35.61,36.34,0,4.5,G,21.26,57.54,53.42,37.4,38.4,1.4,7.4,1.15,4,144,-64.4444444444445,-266.8
11:40:25,10/17/18,San Diego,Filtration,H,21.36,54.78,50.96,35.61,36.33,-0.1,4.4,G,21.27,57.53,53.43,37.4,38.4,1.5,7.5,1.15,4,144,-70.4545454545454,-291.681818181818
11:40:26,10/17/18,San Diego,Filtration,H,21.36,54.78,50.96,35.6,36.33,-0.1,4.3,G,21.27,57.53,53.43,37.4,38.4,1.5,7.6,1.15,4,144,-76.7441860465116,-317.720930232558
11:40:27,10/17/18,San Diego,Filtration,H,21.36,54.78,50.97,35.6,36.33,-0.1,4.4,G,21.27,57.54,53.44,37.4,38.41,1.5,7.4,1.15,4,144,-68.1818181818182,-282.272727272727
11:40:28,10/17/18,San Diego,Filtration,H,21.36,54.77,50.97,35.6,36.33,-0.1,4.4,G,21.28,57.54,53.45,37.4,38.41,1.5,7.5,1.15,4,144,-70.4545454545454,-291.681818181818
11:40:29,10/17/18,San Diego,Filtration,H,21.36,54.77,50.97,35.6,36.33,-0.1,4.1,G,21.29,57.53,53.45,37.4,38.4,1.5,7.5,1.15,4,144,-82.9268292682927,-343.317073170732
