Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
16:45:00,11/7/18,San Rafael,Neg Control 1,H,16.44,46.05,38.52,29.93,29.92,27.8,6.42736050058312,G,16.4,48.16,40.25,31.31,31.45,25.4,7.17263949941688,39.5,11.6,216,-11.5954130590022,-852.862622581096
16:45:01,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.8,6.42736050058312,G,16.4,48.16,40.25,31.3,31.45,25.3,7.17263949941688,39.5,11.6,216,-11.5954130590022,-852.862622581096
16:45:02,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.7,6.42736050058312,G,16.4,48.16,40.25,31.31,31.45,25.3,7.17263949941688,39.5,11.6,216,-11.5954130590022,-852.862622581096
16:45:04,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.6,6.32736050058312,G,16.4,48.16,40.25,31.31,31.45,25.2,6.77263949941688,39.5,11.6,216,-7.03735781757227,-517.609800857988
16:45:05,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.7,6.32736050058312,G,16.4,48.16,40.25,31.31,31.45,25.2,6.67263949941688,39.5,11.6,216,-5.45691997163661,-401.365872396583
16:45:06,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.7,6.32736050058312,G,16.4,48.16,40.25,31.31,31.45,25.2,6.67263949941688,39.5,11.6,216,-5.45691997163661,-401.365872396583
16:45:07,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.52,29.93,29.92,27.7,6.32736050058312,G,16.4,48.16,40.25,31.31,31.45,25.1,6.67263949941688,39.5,11.6,216,-5.45691997163661,-401.365872396583
16:45:08,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.51,29.93,29.92,27.7,6.42736050058312,G,16.4,48.16,40.26,31.31,31.45,25.1,6.47263949941688,39.5,11.6,216,-0.704472680965375,-51.8151802930739
16:45:09,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.51,29.93,29.92,27.7,6.42736050058312,G,16.4,48.16,40.26,31.31,31.45,25.1,6.37263949941688,39.5,11.6,216,0.85137594446846,62.6201686052147
16:45:10,11/7/18,San Rafael,Neg Control 1,H,16.43,46.05,38.51,29.93,29.92,27.7,6.42736050058312,G,16.4,48.17,40.26,31.31,31.45,25,6.37263949941688,39.5,11.6,216,0.85137594446846,62.6201686052147
