Time,Date,Site,Experiment,Sonde_Up,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Sonde_Down,Temp_C_Down,SpCond_mS_cm_Down,Cond_mS_cm_Down,TDS_g_L_Down,Sal_ppt_Down,Turbidity_NTU_Down,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,pcnt_Chl_rmvd,L_hr_m2
16:36:00,11/8/18,San Rafael,Filtration,H,14.72,46.21,37.13,30.04,30,31.4,4.1,G,14.64,48.35,38.78,31.43,31.55,29.9,5.6,69.33,12.3,108,-36.5853658536585,-2227.13860797145
16:36:01,11/8/18,San Rafael,Filtration,H,14.72,46.21,37.13,30.04,30,31.4,4.2,G,14.64,48.35,38.78,31.43,31.55,29.9,5.7,69.33,12.3,108,-35.7142857142857,-2174.11149825784
16:36:02,11/8/18,San Rafael,Filtration,H,14.72,46.21,37.13,30.03,30,31.4,4.1,G,14.64,48.35,38.78,31.43,31.55,29.9,5.6,69.33,12.3,108,-36.5853658536585,-2227.13860797145
16:36:04,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.4,4.1,G,14.64,48.35,38.78,31.43,31.55,29.9,5.5,69.33,12.3,108,-34.1463414634147,-2078.66270077335
16:36:05,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.04,30,31.4,4.3,G,14.64,48.35,38.78,31.43,31.55,29.7,5.8,69.33,12.3,108,-34.8837209302326,-2123.55076574022
16:36:06,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.5,G,14.64,48.35,38.78,31.43,31.55,29.7,5.9,69.33,12.3,108,-31.1111111111111,-1893.89268292683
16:36:07,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.04,30,31.3,4.4,G,14.64,48.35,38.78,31.43,31.55,29.9,5.8,69.33,12.3,108,-31.8181818181818,-1936.93569844789
16:36:08,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.04,30,31.2,4.4,G,14.64,48.35,38.78,31.43,31.55,29.8,5.7,69.33,12.3,108,-29.5454545454545,-1798.58314855876
16:36:09,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.4,G,14.64,48.35,38.78,31.43,31.55,29.7,5.8,69.33,12.3,108,-31.8181818181818,-1936.93569844789
16:36:10,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.3,G,14.64,48.35,38.78,31.43,31.55,29.9,5.9,69.33,12.3,108,-37.2093023255814,-2265.12081678956
16:36:12,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.3,G,14.64,48.35,38.78,31.43,31.55,29.8,5.9,69.33,12.3,108,-37.2093023255814,-2265.12081678956
16:36:13,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.3,G,14.64,48.35,38.78,31.43,31.55,29.9,5.9,69.33,12.3,108,-37.2093023255814,-2265.12081678956
16:36:14,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.3,G,14.64,48.35,38.78,31.43,31.55,29.9,5.9,69.33,12.3,108,-37.2093023255814,-2265.12081678956
16:36:15,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.3,G,14.64,48.35,38.78,31.43,31.55,30,6,69.33,12.3,108,-39.5348837209302,-2406.69086783891
16:36:16,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.2,G,14.64,48.35,38.78,31.43,31.55,30,5.9,69.33,12.3,108,-40.4761904761905,-2463.99303135889
16:36:17,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.2,4.3,G,14.64,48.35,38.78,31.43,31.55,30,5.9,69.33,12.3,108,-37.2093023255814,-2265.12081678956
16:36:18,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.2,G,14.64,48.35,38.78,31.43,31.55,30,5.8,69.33,12.3,108,-38.0952380952381,-2319.05226480836
16:36:20,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.13,30.03,30,31.3,4.1,G,14.64,48.35,38.78,31.43,31.55,29.9,6,69.33,12.3,108,-46.3414634146342,-2821.04223676383
16:36:21,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.12,30.03,30,31.2,4.1,G,14.64,48.35,38.78,31.43,31.55,30,6.3,69.33,12.3,108,-53.6585365853659,-3266.46995835812
16:36:22,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.12,30.03,30,31.1,3.9,G,14.63,48.35,38.78,31.43,31.55,29.9,6.1,69.33,12.3,108,-56.4102564102564,-3433.98123827392
16:36:23,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.12,30.03,30,31.1,3.8,G,14.63,48.35,38.78,31.43,31.55,30,5.9,69.33,12.3,108,-55.2631578947369,-3364.15147625161
16:36:24,11/8/18,San Rafael,Filtration,H,14.71,46.21,37.12,30.03,30,31.1,3.7,G,14.63,48.35,38.78,31.43,31.55,30,5.9,69.33,12.3,108,-59.4594594594595,-3619.60184574819
16:36:25,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.2,4,G,14.63,48.35,38.78,31.43,31.55,30,6,69.33,12.3,108,-50,-3043.75609756098
16:36:26,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.2,4,G,14.63,48.35,38.78,31.43,31.55,30,6.1,69.33,12.3,108,-52.5,-3195.94390243902
16:36:28,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.1,3.9,G,14.64,48.35,38.78,31.43,31.55,30,6.1,69.33,12.3,108,-56.4102564102564,-3433.98123827392
16:36:29,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.2,3.7,G,14.64,48.35,38.78,31.43,31.55,30,6.2,69.33,12.3,108,-67.5675675675676,-4113.18391562294
16:36:30,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.3,3.9,G,14.64,48.35,38.78,31.43,31.55,30,6.2,69.33,12.3,108,-58.974358974359,-3590.0712945591
16:36:31,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.12,30.03,30,31.3,3.9,G,14.63,48.35,38.78,31.43,31.55,30,6,69.33,12.3,108,-53.8461538461539,-3277.89118198874
16:36:32,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.13,30.03,30,31.3,3.9,G,14.63,48.35,38.78,31.43,31.55,30,5.9,69.33,12.3,108,-51.2820512820513,-3121.80112570357
16:36:33,11/8/18,San Rafael,Filtration,H,14.71,46.2,37.13,30.03,30,31.3,4,G,14.63,48.35,38.77,31.43,31.55,30,5.7,69.33,12.3,108,-42.5,-2587.19268292683
